event_time,term,estimate,std.error,statistic,p.value,conf.low,conf.high
-8,fixest::.__event_time_plot__::-8:.__ever_treated__,-0.022026032892001793,0.026199668998602595,-0.8406988994088662,0.44783473230430876,-0.09476797564097435,0.05071590985697076
-6,fixest::.__event_time_plot__::-6:.__ever_treated__,-0.009260963472862808,0.010324022063817204,-0.8970305773870711,0.4204119666459096,-0.0379250439979021,0.019403117052176486
-4,fixest::.__event_time_plot__::-4:.__ever_treated__,-0.012148882635290192,0.019533408997544768,-0.6219540397079298,0.5676676856479144,-0.0663823204343499,0.04208455516376952
-2,(reference period),0,NA,NA,NA,NA,NA
0,fixest::.__event_time_plot__::0:.__ever_treated__,0.0011274958212892014,0.024308598619279,0.0463825923883161,0.9652286383077622,-0.06636399382942583,0.06861898547200422
2,fixest::.__event_time_plot__::2:.__ever_treated__,9.808332166218734e-4,0.006652214593695472,0.14744461454256783,0.8899145463842629,-0.01748867543076925,0.019450341864012996
4,fixest::.__event_time_plot__::4:.__ever_treated__,-0.004670719322355115,0.022629486249010112,-0.20639970660224016,0.8465589048279281,-0.06750024565156001,0.05815880700684978
6,fixest::.__event_time_plot__::6:.__ever_treated__,0.06754839625037928,0.017709759344054804,3.8141905227557706,0.01887211578090465,0.01837822160534744,0.11671857089541113
8,fixest::.__event_time_plot__::8:.__ever_treated__,0.018679289217944622,0.026304011636874753,0.7101308148662284,0.5168309936148816,-0.05435235513832208,0.09171093357421133
