outcome,negative_components,total_components,share_negative_components,negative_weight_mass,positive_weight_mass
log_num_voters,3,5460,0.00054945054945054945,4.008732028186387e-6,1.000004008732028
pct_voters_low_ed,3,5460,0.00054945054945054945,4.008732028186387e-6,1.000004008732028
pct_voters_high_ed,3,5460,0.00054945054945054945,4.008732028186387e-6,1.000004008732028
