term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixest::.__event_time_plot__::-8:.__ever_treated__,0.0010441848323986629,0.007035624414840435,0.14841395316613765,0.8852881688212104,-0.014871503332390559,0.016959872997187885
fixest::.__event_time_plot__::-6:.__ever_treated__,-0.004049981491635251,0.004221211997368662,-0.9594357009692596,0.36240339604710214,-0.013599026447172488,0.0054990634639019865
fixest::.__event_time_plot__::-4:.__ever_treated__,-7.060381352566329e-4,0.003752101071573933,-0.1881714063103486,0.8549166782706283,-0.009193880449860425,0.0077818041793471585
fixest::.__event_time_plot__::0:.__ever_treated__,-0.1171192638728301,0.005960460647037398,-19.649364505248993,1.0611791629843355e-8,-0.13060276261910259,-0.10363576512655763
fixest::.__event_time_plot__::2:.__ever_treated__,-0.07413945837645726,0.0047903383011830124,-15.476873179948049,8.593575891309734e-8,-0.084975956476705,-0.06330296027620952
fixest::.__event_time_plot__::4:.__ever_treated__,-0.05005450025069933,0.014043554136772949,-3.564233082537986,0.0060788596033814046,-0.08182322683234461,-0.018285773669054046
fixest::.__event_time_plot__::6:.__ever_treated__,-0.01001467052233686,0.012017789227678603,-0.8333205328041293,0.42622552381225765,-0.03720079850472912,0.017171457460055398
fixest::.__event_time_plot__::8:.__ever_treated__,0.015955300563772284,0.015324960958149336,1.0411315635546694,0.3249738639569606,-0.018712169637308075,0.050622770764852644
