term,estimate,std.error,conf.low,conf.high,statistic,p.value
2010,-0.16133396615914333,0.010454258146609465,-0.18182431212649788,-0.14084362019178878,-15.432368695761289,9.916291574171715e-54
2012,-0.12041850880832099,0.0045315890415008695,-0.12930042332966268,-0.11153659428697929,-26.573130905188656,1.3881101701674258e-155
2014,-0.12748368734961477,0.009528004616363338,-0.14615857639768692,-0.10880879830154262,-13.379893533077748,7.926082496574795e-41
2016,-0.12302779342310534,0.0024536504102870677,-0.127836948227268,-0.11821863861894269,-50.14071805311155,0
2018,-0.11109590568886489,0.0027758401060795595,-0.11653655229678082,-0.10565525908094896,-40.02244417664622,0
