term,estimate,std.error,conf.low,conf.high
2008,-0.21396117961583633,0.09191550558811741,-0.39411557056854646,-0.0338067886631262
2010,-0.018691391297712436,0.035793022876943276,-0.08884571613652126,0.05146293354109638
2012,-4.2851605335096675e-4,0.013462403725329228,-0.026814827354996254,0.02595779524829432
2014,0.0012053166756634836,0.008420334953711075,-0.015298539833610224,0.017709173184937192
2016,0.02647928785598609,0.00568925678319814,0.015328344560917737,0.03763023115105445
2018,0.023473321964436408,0.004242599231812028,0.015157827470084834,0.03178881645878798
2020,0.020235063132501424,0.00473567159618162,0.01095314680398545,0.029516979461017397
2022,0.007460841725675087,0.0055501382444864585,-0.003417429233518371,0.018339112684868545
