term,estimate,std.error,conf.low,conf.high,statistic,p.value,event_time
0,-0.0736975415782725,0.0022779838113664674,-0.07816238984855078,-0.06923269330799423,-32.35209188517649,1.296461248029917e-229,0
2,-0.06698523823198448,0.0033787284215009697,-0.07360754593812638,-0.06036293052584257,-19.825576333899868,1.7911756888039338e-87,2
4,-0.046933532268138775,0.00577881612451695,-0.058260011872192,-0.03560705266408555,-8.121651780720388,4.598812225267703e-16,4
6,-0.002110480298739313,0.007775914476418616,-0.0173512726725198,0.013130312075041175,-0.27141248854261385,0.7860737979465137,6
8,0.02750900014779836,0.0229553216788326,-0.017483430342713536,0.07250143063831026,1.1983713638465265,0.23077247550942323,8
