term,estimate,std.error,conf.low,conf.high,statistic,p.value
2010,-0.33154782450508363,0.015593292260545,-0.3621106773357518,-0.30098497167441546,-21.262208067758984,2.5417196282976287e-100
2012,-0.2668946848844666,0.007412214752501877,-0.2814226257993703,-0.25236674396956293,-36.007413950652264,6.404178608441831e-284
2014,-0.30137865010785425,0.010184858387785592,-0.321340972547914,-0.2814163276677945,-29.590853267954028,1.9594108273879854e-192
2016,-0.2865965745671273,0.004864554376555351,-0.29613110114517577,-0.2770620479890788,-58.91527823152215,0
2018,-0.2544497293208189,0.004329347933401221,-0.2629352512702853,-0.2459642073713525,-58.77322248870817,0
