year_first_treat,new_treated,cumulative_treated,share_of_panel
2008,3,3,0.00026934817741066616
2010,57,60,0.0053869635482133235
2012,239,299,0.026845035015263065
2014,465,764,0.06859400251391633
2016,779,1543,0.138534745914886
2018,1251,2794,0.2508529358951338
