outcome,outcome_label,model,interaction,term,estimate,std_error,p_value,n_obs,n_clusters,r_squared,dep_mean_weighted,dep_mean_unweighted
count_fair_always,Count Fair,baseline,No,Intercept,0.36058238908536955,0.16750493820371634,0.03134484174935109,698,338,0.06310195222945625,0.42049376898105967,0.4828080229226361
count_fair_always,Count Fair,baseline,No,treatment_dummy,0.01624345150665993,0.05056762958212513,0.7480419155622471,698,338,0.06310195222945625,0.42049376898105967,0.4828080229226361
count_fair_always,Count Fair,baseline,No,bolsonaro_approve,-0.22361957027806925,0.054420212797987526,3.9715748806522724e-05,698,338,0.06310195222945625,0.42049376898105967,0.4828080229226361
count_fair_always,Count Fair,baseline,No,low_ed,-0.09220635576477784,0.054278166612903064,0.08936171331776276,698,338,0.06310195222945625,0.42049376898105967,0.4828080229226361
count_fair_always,Count Fair,baseline,No,female,-0.13875419937732703,0.04828976191812958,0.004061222745455403,698,338,0.06310195222945625,0.42049376898105967,0.4828080229226361
count_fair_always,Count Fair,baseline,No,white,0.08916950527954517,0.05956198205009328,0.13437046355247254,698,338,0.06310195222945625,0.42049376898105967,0.4828080229226361
count_fair_always,Count Fair,baseline,No,age,0.0029377274817306643,0.0019567976253657797,0.13327967523598544,698,338,0.06310195222945625,0.42049376898105967,0.4828080229226361
count_fair_always,Count Fair,baseline,No,urban,0.008873039474743466,0.05150159406438795,0.8632121430999746,698,338,0.06310195222945625,0.42049376898105967,0.4828080229226361
count_fair_always,Count Fair,baseline,No,log_total_pop,0.00509470576245611,0.009949936172408663,0.6086272041039695,698,338,0.06310195222945625,0.42049376898105967,0.4828080229226361
count_fair_always,Count Fair,interaction,Yes,Intercept,0.368884003441461,0.16870178588888174,0.028771443531455478,698,338,0.07008140941812435,0.42049376898105967,0.4828080229226361
count_fair_always,Count Fair,interaction,Yes,treatment_dummy,-0.030091846702013286,0.05977663589928448,0.6146796827132243,698,338,0.07008140941812435,0.42049376898105967,0.4828080229226361
count_fair_always,Count Fair,interaction,Yes,bolsonaro_approve,-0.3235686666862274,0.058335659779335226,2.9116116662482495e-08,698,338,0.07008140941812435,0.42049376898105967,0.4828080229226361
count_fair_always,Count Fair,interaction,Yes,treatment_dummy:bolsonaro_approve,0.19777590856860117,0.10655469363100822,0.0634396511929595,698,338,0.07008140941812435,0.42049376898105967,0.4828080229226361
count_fair_always,Count Fair,interaction,Yes,low_ed,-0.09317299772870843,0.05462577956092515,0.08807143336217577,698,338,0.07008140941812435,0.42049376898105967,0.4828080229226361
count_fair_always,Count Fair,interaction,Yes,female,-0.1437581273092884,0.04792479101939816,0.0027028022450557216,698,338,0.07008140941812435,0.42049376898105967,0.4828080229226361
count_fair_always,Count Fair,interaction,Yes,white,0.08800035096228666,0.05879036569338718,0.13443232787068843,698,338,0.07008140941812435,0.42049376898105967,0.4828080229226361
count_fair_always,Count Fair,interaction,Yes,age,0.0033157919996716556,0.0019517106778957401,0.08933505998440329,698,338,0.07008140941812435,0.42049376898105967,0.4828080229226361
count_fair_always,Count Fair,interaction,Yes,urban,0.002568010610286855,0.05136903422625245,0.9601292311249388,698,338,0.07008140941812435,0.42049376898105967,0.4828080229226361
