group,time,estimate,std.error,conf.low,conf.high
2008,2002,-0.013070443843755102,0.01723429761901748,-0.04684966717702936,0.020708779489519158
2008,2004,0.01592597164455339,0.021216620856991542,-0.02565860523515003,0.05751054852425681
2008,2006,0.004618211446689326,0.01981493475969538,-0.03421906068231361,0.04345548357569227
2008,2008,-0.02515087363608115,0.008442800805677893,-0.04169876321520982,-0.008602984056952482
2008,2010,-0.0020560316492551182,0.007372535726916334,-0.016506201674011133,0.012394138375500897
2008,2012,0.14015662285187452,0.15708326249395618,-0.16772657163627958,0.4480398173400286
2008,2014,-0.003731514028896414,0.006192086200566615,-0.01586800298200698,0.008404974924214152
2008,2016,-0.017974449657658494,0.016419253931468716,-0.05015618736333718,0.01420728804802019
2008,2018,-0.006954436070103382,0.0108063168100559,-0.02813481701781295,0.014225944877606183
2008,2020,0.027682566935826193,0.007515669984737589,0.012951853765740519,0.04241328010591187
2008,2022,5.669146019467722e-4,0.008850958439913289,-0.016780963940283274,0.017914793144176818
2010,2002,0.009023432662461339,0.006972295816780975,-0.004642267138429372,0.022689132463352052
2010,2004,-0.007971091047029437,0.007673783422596923,-0.023011706555319405,0.00706952446126053
2010,2006,0.01052243490324372,0.006602933360368726,-0.0024193144830789836,0.023464184289566425
2010,2008,-0.004691796372183407,0.01342878520045802,-0.031012215365081128,0.021628622620714313
2010,2010,0.010868215698721925,0.014032526045609811,-0.016635535350673306,0.03837196674811716
2010,2012,-0.006491488515678991,0.017575641808928563,-0.04093974646117897,0.02795676942982099
2010,2014,0.01569353391804215,0.01391004370968483,-0.011570151752940117,0.04295721958902442
2010,2016,-0.009560618560239794,0.016646143789691367,-0.04218706038803487,0.023065823267555283
2010,2018,-0.0029062838690270955,0.013868364960301024,-0.030088279191217104,0.024275711453162912
2010,2020,-0.008670324655800494,0.013837818755587126,-0.03579244941675126,0.01845180010515027
2010,2022,-0.008954908488737427,0.01414755126438187,-0.036684108966925894,0.018774291989451037
2012,2002,0.016940215581548575,0.004211081466181551,0.008686495907832735,0.025193935255264414
2012,2004,-0.016354191957766266,0.0040767945817857644,-0.024344709338066366,-0.008363674577466168
2012,2006,0.012265465143212303,0.0032011134769701355,0.005991282728350838,0.018539647558073767
2012,2008,-0.013949475722967394,0.0060644404389127455,-0.025835778983236374,-0.002063172462698413
2012,2010,0.01793414722702588,0.005960844509991404,0.00625089198744273,0.029617402466609034
2012,2012,-0.026616711998159223,0.005870066539705145,-0.03812204241598131,-0.015111381580337138
