outcome,category,base_group_treatment_effect,base_group_std_error,interacted_group_treatment_effect,interacted_group_std_error,interaction_difference,interaction_difference_std_error,interaction_p_value,stars,n_obs
Trust in institutions,Female,0.0030236408922381,0.0496269995154785,0.0852481848899059,0.051276449790461,0.0822245439976678,0.0562763283736822,0.194297559158768,,10632
Trust in institutions,White,0.0549311452252406,0.0362756924995451,0.0157289309308952,0.0705041480266206,-0.0392022142943454,0.0535480509671675,0.491705725288188,,10632
Trust in institutions,Married,0.0597300416266863,0.0375953223630811,0.0131433945239388,0.0692429319244419,-0.0465866471027476,0.058429156027512,0.455651600465127,,10632
Trust in institutions,Low Education,-0.008128168827118,0.0487067506423373,0.114664036415033,0.040582096482661,0.122792205242151,0.0305937732905781,0.0070093718540776,***,10632
