"category","outcome","outcome_label","term","estimate","std_error","p_value","ci95_low","ci95_high","n_obs","formula","cluster"
"White","z_score_pca1_trust","Trust in institutions","factor(working)1",-0.0555331057077545,0.0175503016696963,0.0194605602848205,-0.0984771468545037,-0.0125890645610052,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(white) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"White","z_score_pca1_trust","Trust in institutions","age",0.00328006163849407,0.0012444616562632,0.0387613589724755,0.000234973663488154,0.00632514961349999,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(white) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"White","z_score_pca1_trust","Trust in institutions","log_gdp_pc",-0.0496782299348355,0.170623947861222,0.780734785972767,-0.4671799900456,0.367823530175929,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(white) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"White","z_score_pca1_trust","Trust in institutions","log_total_pop",-0.10506617786518,0.576383681113646,0.861361836567556,-1.51542623798872,1.30529388225836,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(white) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"White","z_score_pca1_trust","Trust in institutions","factor(treatment_dummy)1:factor(white)1",-0.0392022142943454,0.0535480509671675,0.491705725288188,-0.170229574811622,0.0918251462229315,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(white) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Married","z_score_pca1_trust","Trust in institutions","factor(treatment_dummy)1",0.0597300416266863,0.0375953223630811,0.163214389149725,-0.0322623982111522,0.151722481464525,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(married) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Married","z_score_pca1_trust","Trust in institutions","factor(married)1",0.0484687563906844,0.0377614543236268,0.246639421283156,-0.0439301937102673,0.140867706491636,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(married) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Married","z_score_pca1_trust","Trust in institutions","factor(low_ed)1",0.0882915520182568,0.0405871525661523,0.0725241346963136,-0.0110216326000902,0.187604736636604,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(married) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Married","z_score_pca1_trust","Trust in institutions","factor(female)1",-0.0158888204159915,0.0313054767958619,0.629886597142398,-0.0924905625935297,0.0607129217615468,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(married) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Married","z_score_pca1_trust","Trust in institutions","factor(white)1",-0.0478320510113518,0.0172802576568521,0.0325075547269912,-0.0901153182627418,-0.00554878375996184,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(married) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Married","z_score_pca1_trust","Trust in institutions","factor(working)1",-0.0551509887216124,0.0175161156407577,0.0198503212139127,-0.0980113796690081,-0.0122905977742166,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(married) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Married","z_score_pca1_trust","Trust in institutions","age",0.00329886156646758,0.000733997967973132,0.00412860263269398,0.00150283323991779,0.00509488989301736,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(married) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Married","z_score_pca1_trust","Trust in institutions","log_gdp_pc",-0.0492344595921608,0.169907240362329,0.781743422423918,-0.464982499630082,0.36651358044576,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(married) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Married","z_score_pca1_trust","Trust in institutions","log_total_pop",-0.098658362506099,0.578600345773169,0.870211944485356,-1.51444240565504,1.31712568064284,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(married) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Married","z_score_pca1_trust","Trust in institutions","factor(treatment_dummy)1:factor(married)1",-0.0465866471027476,0.058429156027512,0.455651600465127,-0.189557641438865,0.09638434723337,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(married) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Low Education","z_score_pca1_trust","Trust in institutions","factor(treatment_dummy)1",-0.008128168827118,0.0487067506423373,0.872946739834145,-0.127309294204616,0.11105295655038,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(low_ed) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Low Education","z_score_pca1_trust","Trust in institutions","factor(low_ed)1",0.0657196667030806,0.039520447512329,0.147387068348169,-0.03098338467739,0.162422718083551,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(low_ed) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Low Education","z_score_pca1_trust","Trust in institutions","factor(female)1",-0.0154466174134572,0.0321803261307381,0.648223445515224,-0.0941890387964704,0.0632958039695561,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(low_ed) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Low Education","z_score_pca1_trust","Trust in institutions","factor(white)1",-0.0495982931042507,0.0169967329092852,0.0266970001832835,-0.0911878002907263,-0.00800878591777517,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(low_ed) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Low Education","z_score_pca1_trust","Trust in institutions","factor(married)1",0.04015846415514,0.0349643965785346,0.294459968865112,-0.045396332201009,0.125713260511289,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(low_ed) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Low Education","z_score_pca1_trust","Trust in institutions","factor(working)1",-0.0544476807592963,0.0177113186783726,0.021825106158645,-0.0977857163328113,-0.0111096451857812,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(low_ed) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Low Education","z_score_pca1_trust","Trust in institutions","age",0.00328846240292112,0.000756030017756695,0.0048244361862647,0.00143852359265092,0.00513840121319131,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(low_ed) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Low Education","z_score_pca1_trust","Trust in institutions","log_gdp_pc",-0.0604868940878742,0.16832299509222,0.731641435418677,-0.472358425599244,0.351384637423496,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(low_ed) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Low Education","z_score_pca1_trust","Trust in institutions","log_total_pop",-0.112754243062997,0.581798632811099,0.852724933642186,-1.53636421266841,1.31085572654242,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(low_ed) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Low Education","z_score_pca1_trust","Trust in institutions","factor(treatment_dummy)1:factor(low_ed)1",0.122792205242151,0.0305937732905781,0.00700937185407764,0.0479319388061934,0.197652471678109,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(low_ed) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
