lb,ub,method,Delta,Mbar,restriction
0.08479290698251563,0.0938019159915246,C-LF,DeltaRM,0,Relative magnitudes
0.08379190598151465,0.09480291699252569,C-LF,DeltaRM,0.5,Relative magnitudes
0.08178990397951263,0.09580391799352667,C-LF,DeltaRM,1,Relative magnitudes
0.07978790197751062,0.09780591999552862,C-LF,DeltaRM,1.5,Relative magnitudes
0.07778589997550861,0.09980792199753069,C-LF,DeltaRM,2,Relative magnitudes
