term,estimate,std.error,conf.low,conf.high,statistic,p.value
2010,-0.023247930354187506,0.012357609264536077,-0.047468844512678215,9.729838043032041e-4,-1.8812643980340535,0.05993596143363391
2012,-0.013261624508774966,0.005504374008394978,-0.024050197565229123,-0.0024730514523208097,-2.409288411097982,0.01598366124839387
2014,-0.0580297819755202,0.012301266751321068,-0.08214026480810949,-0.03391929914293091,-4.717382619906866,2.3889814856332816e-6
2016,-0.040241361628428535,0.0022563900848486195,-0.04466388619473183,-0.03581883706212524,-17.834399246231538,3.821347893527689e-71
2018,-0.062403140484254285,0.0015907401410325177,-0.06552099116067801,-0.05928528980783055,-39.22899716590395,0
