term,estimate,std.error,conf.low,conf.high,event_time
0,0.004336066041466106,0.002965392742156162,-0.0014761037331599714,0.010148235816092184,0
2,0.0046794982899905765,0.003138752009916225,-0.0014724556494452243,0.010831452229426377,2
4,0.009399537814563215,0.003336503752148734,0.0028599904603516958,0.015939085168774736,4
6,0.006497308123181781,0.004539960962949125,-0.002401015364198504,0.015395631610562066,6
8,4.2999980118942825e-4,0.006973172369209151,-0.013237418042460508,0.014097417644839363,8
