estimate,std.error,statistic,p.value,term,event_time,conf.low,conf.high
-0.057425052050051724,0.005560074778561627,-10.328107864928283,1.4466295797810141e-24,.__time_id__::-8,-8,-0.06832279861603252,-0.046527305484070934
-0.05594328104445926,0.0023453521524261648,-23.852827809499043,1.3058983132285324e-114,.__time_id__::-6,-6,-0.060540171263214544,-0.051346390825703976
-0.018158240548023428,5.095514678521273e-4,-35.63573396140816,1.3447228265466908e-229,.__time_id__::-4,-4,-0.019156961425013597,-0.01715951967103326
-0.08270359950079566,9.390212280493817e-4,-88.07425969761611,0,.__time_id__::0,0,-0.08454408110777245,-0.08086311789381886
-0.057135950050459856,0.001028554195698803,-55.54977101779407,0,.__time_id__::2,2,-0.05915191627402951,-0.0551199838268902
-0.0034219911269058436,0.001993693367316416,-1.716407940661391,0.08619828646761886,.__time_id__::4,4,-0.007329630126846019,4.8564787303433197e-4
-0.0017995806244735513,0.001873965523102889,-0.960306154135551,0.33698427764676464,.__time_id__::6,6,-0.005472553049755214,0.001873391800808111
