event_time,estimate,std.error,conf.low,conf.high,statistic,p.value,estimator,estimator_label,color,term,n_switchers,n_comparisons
-8.0,-0.0033832628582225,0.0026339102555328,-0.0085456320975776,0.0017791063811324,-1.2845019495693328,0.1989663818734733,callaway_santanna,Callaway-Sant'Anna,#2C5A8A,,,
-6.0,-0.0036448740326518,0.0015088574644888,-0.0066021803208544,-0.0006875677444492245,-2.415651655927978,0.015707079987863,callaway_santanna,Callaway-Sant'Anna,#2C5A8A,,,
-4.0,-0.0014399833192491,0.001946942650939,-0.0052559207950546,0.0023759541565563,-0.7396126016113451,0.4595350930598572,callaway_santanna,Callaway-Sant'Anna,#2C5A8A,,,
-2.0,0.0,,,,,,callaway_santanna,Callaway-Sant'Anna,#2C5A8A,,,
0.0,-0.0680324161018862,0.0021321436182172,-0.0722113408034589,-0.0638534914003135,-31.9079894621594,2.068766202436915e-223,callaway_santanna,Callaway-Sant'Anna,#2C5A8A,,,
2.0,-0.0620968724539147,0.002133295136064,-0.0662780540889947,-0.0579156908188348,-29.108430148340823,2.8080169133884786e-186,callaway_santanna,Callaway-Sant'Anna,#2C5A8A,,,
4.0,-0.0510955579440154,0.0109635343910474,-0.0725836904937346,-0.0296074253942962,-4.660500539473749,3.1544133404802604e-06,callaway_santanna,Callaway-Sant'Anna,#2C5A8A,,,
6.0,-0.0308665072330377,0.0065706233787173,-0.0437446924113006,-0.0179883220547749,-4.697652787864289,2.63168309183279e-06,callaway_santanna,Callaway-Sant'Anna,#2C5A8A,,,
8.0,-0.0125122513451261,0.0166984155236116,-0.0452405443702894,0.0202160416800371,-0.7493077009273011,0.4536717673156368,callaway_santanna,Callaway-Sant'Anna,#2C5A8A,,,
-2.0,0.0,,,,,,bjs,Borusyak-Jaravel-Spiess,#009E73,,,
0.0,-0.0736975415782725,0.0022779838113664,-0.0781623898485507,-0.0692326933079942,-32.35209188517649,1.296461248029917e-229,bjs,Borusyak-Jaravel-Spiess,#009E73,0.0,,
2.0,-0.0669852382319844,0.0033787284215009,-0.0736075459381263,-0.0603629305258425,-19.825576333899868,1.7911756888039338e-87,bjs,Borusyak-Jaravel-Spiess,#009E73,2.0,,
4.0,-0.0469335322681387,0.0057788161245169,-0.058260011872192,-0.0356070526640855,-8.121651780720388,4.598812225267704e-16,bjs,Borusyak-Jaravel-Spiess,#009E73,4.0,,
6.0,-0.0021104802987393,0.0077759144764186,-0.0173512726725198,0.0131303120750411,-0.2714124885426138,0.7860737979465137,bjs,Borusyak-Jaravel-Spiess,#009E73,6.0,,
8.0,0.0275090001477983,0.0229553216788326,-0.0174834303427135,0.0725014306383102,1.1983713638465263,0.2307724755094232,bjs,Borusyak-Jaravel-Spiess,#009E73,8.0,,
-8.0,0.0013729675103079,0.0006627753818332,7.392776191487006e-05,0.0026720072587011,2.071542709553253,0.0383081074851687,dcdh,de Chaisemartin-D'Haultfoeuille,#CC79A7,dcdh_event_-8,4320.0,6.0
-6.0,0.0019392352804385,0.0005094870702078,0.0009406406228311,0.0029378299380459,3.806250234470774,0.0001410896357505,dcdh,de Chaisemartin-D'Haultfoeuille,#CC79A7,dcdh_event_-6,4323.0,6.0
