metric,value
spec,strict_bvr
rows_full_panel,55661
rows_analysis_sample,37207
municipalities_full_panel,5571
municipalities_analysis_sample,3725
treated_municipalities,2480
never_treated_municipalities,1245
hybrid_municipalities_in_sample,0
