lb,ub,method,Delta,M,restriction
-0.11548554806608256,-0.10045739866809383,C-LF,DeltaSD,0,Smoothness
-0.6154855480660826,0.3961533607672585,C-LF,DeltaSD,0.5,Smoothness
-1.1154855480660826,0.8966315266236877,C-LF,DeltaSD,1,Smoothness
-1.6154855480660826,1.3955595875685975,C-LF,DeltaSD,1.5,Smoothness
-2.1154855480660824,1.8952548203394826,C-LF,DeltaSD,2,Smoothness
