term,estimate,std.error,conf.low,conf.high,statistic,p.value
2008,0.05834860310086537,0.021266412821152738,0.01666719989104517,0.10003000631068557,2.743697472233242,0.006075149661681783
2010,0.08673636991457861,0.004728262634418862,0.077469145441671175,0.09600359438748605,18.34423690494493,3.6704396068923836e-75
2012,0.0892943130564458,0.00199835389655654,0.08537761139082971,0.0932110147220619,44.68393371680219,0
2014,0.07017339926616005,0.002331069799625823,0.06560458641344444,0.07474221211887566,30.10351696779912,4.3580851504809215e-199
2016,0.08466010066147438,0.0015471411378765471,0.08162775975223603,0.08769244157071272,54.72034747758725,0
2018,0.08178440344534338,0.0012779540144524533,0.0792796596031182,0.08428914728756856,63.996358648620365,0
