"outcome","outcome_label","term","estimate","se","t","p","ci_lower","ci_upper"
"norm_2006_voters","Total electorate","D_str_0",-0.131475934441755,0.00187531000030008,-70.1089070184217,0,-0.135151542042343,-0.127800326841167
"norm_2006_voters","Total electorate","D_hyb_0",-0.00634515748594013,0.00127416270979453,-4.97986437459258,6.55503271084317e-07,-0.00884251639713741,-0.00384779857474285
"norm_2006_voters_low_ed","Low-education voters","D_str_0",-0.183484075976299,0.00153782321933322,-119.31415371388,0,-0.186498209486192,-0.180469942466405
"norm_2006_voters_low_ed","Low-education voters","D_hyb_0",-0.0029130358131064,0.000910792645667215,-3.1983523658916,0.00138990347069211,-0.00469818939861414,-0.00112788222759866
"norm_2006_voters_high_ed","High-education voters","D_str_0",0.0528839101649205,0.0013893547635766,38.0636476379741,5.91567369606825e-282,0.0501607748283104,0.0556070455015307
"norm_2006_voters_high_ed","High-education voters","D_hyb_0",-0.00321649315968594,0.00104473720069918,-3.0787581389208,0.00208878411337631,-0.00526417807305633,-0.00116880824631554
