"outcome","beta_str","se_str","beta_hyb","se_hyb","diff","se_diff","t_diff","p_diff","ci_lower_diff","ci_upper_diff"
"norm_2006_voters",-0.131475934441755,0.00187531000030008,-0.00634515748594013,0.00127416270979453,-0.125130776955815,0.00189738370279484,-65.9491154959841,0,-0.128849649013293,-0.121411904898337
"norm_2006_voters_low_ed",-0.183484075976299,0.00153782321933322,-0.0029130358131064,0.000910792645667215,-0.180571040163192,0.00157785901593912,-114.440541480012,0,-0.183663643834433,-0.177478436491951
"norm_2006_voters_high_ed",0.0528839101649205,0.0013893547635766,-0.00321649315968594,0.00104473720069918,0.0561004033246065,0.00143691452238058,39.0422690082242,4.18807590404125e-318,0.0532840508607405,0.0589167557884724
