term,estimate,std.error,conf.low,conf.high,statistic,p.value
2008,9.616670226866179e-5,2.4335094657689615e-5,4.847079317921708e-5,1.438626113581065e-4,3.951770215871102,7.757521140590454e-5
2010,-8.363548470557372e-4,1.590145735825306e-4,-0.0011480176842944914,-5.246920098169829e-4,-5.259611293562714,1.4436023521842437e-7
2012,-6.088096744831282e-4,5.0321932583074764e-5,-7.074388499784073e-4,-5.10180498987849e-4,-12.098296771056338,1.0782512744558513e-33
2014,-8.079211748192577e-4,1.1241835743151506e-4,-0.001028257106586178,-5.875852430523374e-4,-7.186737053256102,6.635803054355115e-13
2016,-8.283140435071189e-4,6.582413751661553e-5,-9.573269823530972e-4,-6.993011046611407e-4,-12.583743209670365,2.594389630097952e-36
2018,-7.864799744590423e-4,4.81001513501186e-5,-8.807545387562003e-4,-6.922054101618843e-4,-16.350883570704255,4.287181271561127e-60
