year,state,municipality_id,pct_mayor_R,pct_mayor_C,pct_mayor_L,pct_mayor_IDK,treated_hybrid_2016,treat_hybrid2016_x_2016,election,spec,pct_vereador_R,pct_vereador_C,pct_vereador_L,pct_vereador_IDK
2012,RO,1100015,0.0,1.0,0.0,0.0,0,0,mayor,hybrid_vs_no_bvr_2016,,,,
2016,RO,1100015,0.7242058979607308,0.2757941020392692,0.0,0.0,0,0,mayor,hybrid_vs_no_bvr_2016,,,,
2012,RO,1100049,0.4812707670977458,0.0,0.5187292329022543,0.0,0,0,mayor,hybrid_vs_no_bvr_2016,,,,
2016,RO,1100049,0.4732502789987929,0.48554900129819845,0.041200719703008634,0.0,0,0,mayor,hybrid_vs_no_bvr_2016,,,,
2012,RO,1100056,0.5972074081256666,0.40279259187433336,0.0,0.0,0,0,mayor,hybrid_vs_no_bvr_2016,,,,
2016,RO,1100056,1.0,0.0,0.0,0.0,0,0,mayor,hybrid_vs_no_bvr_2016,,,,
2012,RO,1100072,0.0,0.725638406537283,0.27436159346271705,0.0,0,0,mayor,hybrid_vs_no_bvr_2016,,,,
2016,RO,1100072,0.20092281879194632,0.7990771812080537,0.0,0.0,0,0,mayor,hybrid_vs_no_bvr_2016,,,,
2012,RO,1100080,0.448649473523577,0.0,0.551350526476423,0.0,0,0,mayor,hybrid_vs_no_bvr_2016,,,,
2016,RO,1100080,0.6373001230012301,0.36269987699877,0.0,0.0,0,0,mayor,hybrid_vs_no_bvr_2016,,,,
2012,RO,1100098,0.4725798464966576,0.5274201535033424,0.0,0.0,0,0,mayor,hybrid_vs_no_bvr_2016,,,,
2016,RO,1100098,0.7427270577105014,0.2572729422894986,0.0,0.0,0,0,mayor,hybrid_vs_no_bvr_2016,,,,
2012,RO,1100114,0.16386731051858072,0.34530058086640075,0.4908321086150185,0.0,0,0,mayor,hybrid_vs_no_bvr_2016,,,,
2016,RO,1100114,0.2193979447329242,0.7806020552670758,0.0,0.0,0,0,mayor,hybrid_vs_no_bvr_2016,,,,
2012,RO,1100148,0.0,1.0,0.0,0.0,0,0,mayor,hybrid_vs_no_bvr_2016,,,,
2016,RO,1100148,0.7395952653684612,0.26040473463153874,0.0,0.0,0,0,mayor,hybrid_vs_no_bvr_2016,,,,
2012,RO,1100155,0.7541107899350803,0.0,0.24588921006491968,0.0,0,0,mayor,hybrid_vs_no_bvr_2016,,,,
2016,RO,1100155,1.0,0.0,0.0,0.0,0,0,mayor,hybrid_vs_no_bvr_2016,,,,
2012,RO,1100189,0.19869156906193944,0.8013084309380606,0.0,0.0,0,0,mayor,hybrid_vs_no_bvr_2016,,,,
2016,RO,1100189,0.38800690494382656,0.49268472139683617,0.11930837365933723,0.0,0,0,mayor,hybrid_vs_no_bvr_2016,,,,
2012,RO,1100254,0.26122313500954275,0.3341631399883827,0.40461372500207454,0.0,0,0,mayor,hybrid_vs_no_bvr_2016,,,,
