metric,value
rows_full_sample,55661
rows_filtered_sample,40337
municipalities_full_sample,5571
municipalities_filtered_sample,4038
hybrid_municipalities_excluded,1533
treated_municipalities_filtered_sample,2793
never_treated_municipalities_filtered_sample,1245
