"category","outcome","outcome_label","term","estimate","std_error","p_value","ci95_low","ci95_high","n_obs","formula","cluster"
"White","z_score_pca1_dem","Trust in democracy","factor(working)1",-0.00666876006763289,0.0220050123372715,0.772079610827394,-0.0605130855402937,0.0471755654050279,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(white) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"White","z_score_pca1_dem","Trust in democracy","age",0.00367512937197465,0.00117413023585915,0.0203223739820888,0.000802136183063262,0.00654812256088604,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(white) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"White","z_score_pca1_dem","Trust in democracy","log_gdp_pc",-0.01227135302061,0.193343880570418,0.951454646855562,-0.485366785734723,0.460824079693503,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(white) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"White","z_score_pca1_dem","Trust in democracy","log_total_pop",0.0993506712387652,0.700510904386399,0.891859766294885,-1.6147377625606,1.81343910503813,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(white) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"White","z_score_pca1_dem","Trust in democracy","factor(treatment_dummy)1:factor(white)1",0.0357612066140548,0.08227836203054,0.679022467469376,-0.16556669253127,0.237089105759379,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(white) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Married","z_score_pca1_dem","Trust in democracy","factor(treatment_dummy)1",0.0784443433134003,0.0726884826313404,0.321965826857241,-0.0994179662789717,0.256306652905772,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(married) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Married","z_score_pca1_dem","Trust in democracy","factor(married)1",0.0438022462326812,0.0292624884097359,0.185067375109206,-0.0278004834510938,0.115404975916456,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(married) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Married","z_score_pca1_dem","Trust in democracy","factor(low_ed)1",-0.0222184187509915,0.0347418836618985,0.546106294250797,-0.107228745614391,0.0627919081124077,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(married) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Married","z_score_pca1_dem","Trust in democracy","factor(female)1",-0.134596988932847,0.0290448519863689,0.00356235490075061,-0.205667181473044,-0.0635267963926491,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(married) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Married","z_score_pca1_dem","Trust in democracy","factor(white)1",0.00170262103555285,0.0274626543317933,0.952578345331359,-0.0654960733128099,0.0689013153839157,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(married) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
