outcome,category,base_group_treatment_effect,base_group_std_error,interacted_group_treatment_effect,interacted_group_std_error,interaction_difference,interaction_difference_std_error,interaction_p_value,stars,n_obs
Trust in democracy,Female,0.106760354578893,0.0813997959201339,0.09102613298762,0.0795919507422583,-0.0157342215912731,0.0791797061750544,0.849047898183385,,10632
Trust in democracy,White,0.0892184416676849,0.0758974366607223,0.12497964828174,0.0872478401049016,0.0357612066140548,0.08227836203054,0.679022467469376,,10632
Trust in democracy,Married,0.0784443433134003,0.0726884826313404,0.140349255890523,0.0904096242357955,0.0619049125771228,0.0799961510401592,0.468404748111265,,10632
Trust in democracy,Low Education,0.0756868592348502,0.0687105252804222,0.129852910155026,0.0764898143871874,0.054166050920176,0.03466760206534,0.169211777199351,,10632
