group,time,estimate,std.error,conf.low,conf.high,term,statistic,p.value
2008,2000,0.01572676896207265,0.07014002572456852,-0.12174515533279454,0.15319869325693983,1,0.2242196064174511,0.8225864281175561
2008,2002,0.016435182293263895,0.05654875112851323,-0.09439833328934075,0.12726869787586853,2,0.2906374051641414,0.7713286491760024
2008,2004,-0.007799181202844314,0.024686054071313444,-0.05618295810302702,0.040584595697338396,3,-0.31593470468443124,0.7520520694816222
2008,2006,0,NA,NA,NA,4,NA,NA
2008,2008,-0.062027202504866846,0.1024381065257374,-0.2628022019397896,0.1387477969300559,5,-0.6055090689252697,0.5448408007237192
2008,2010,-0.055217952456390065,0.10444450006280352,-0.2599254109627763,0.14948950604999622,6,-0.5286822419867677,0.5970258979862842
2008,2012,-0.06461095075716798,0.12013785630538654,-0.3000768222955738,0.17085492078123782,7,-0.5378067558732614,0.5907104673741196
2008,2014,-0.032175975604857625,0.1341441252391422,-0.2950936298112068,0.23074167860149153,8,-0.2398612354249333,0.8104378333051666
2008,2016,-0.03174423272601898,0.16491274703174913,-0.35496727749981194,0.2914788120477739,9,-0.19249107966109832,0.8473575546591144
2008,2018,-0.009957656304134825,0.18012407786218806,-0.3629943616625118,0.3430790490542422,10,-0.05528220559026747,0.955913638367083
2010,2000,-0.053746315153267464,0.020091961204119272,-0.09312583549211725,-0.014366794814417681,11,-2.675015873624539,0.0074725711983581935
2010,2002,-0.062494758293222624,0.020363072189396668,-0.10240564639902927,-0.022583870187415978,12,-3.069024050593137,0.002147593014172495
2010,2004,-0.03432868597903728,0.014580010725367739,-0.06290498189496575,-0.005752390063108809,13,-2.3545034791578616,0.018547470075356124
2010,2006,-0.028942002682207157,0.011559486683940072,-0.05159818026250003,-0.006285825101914281,14,-2.5037446275548825,0.01228866959408303
2010,2008,0,NA,NA,NA,15,NA,NA
2010,2010,-0.166224922852342,0.013863812197101812,-0.19339749544708867,-0.13905235025759533,16,-11.989842367245195,4.0166880617109334e-33
2010,2012,-0.10693376234519263,0.015366582741233625,-0.1370517110834653,-0.07681581360691996,17,-6.9588511737391014,3.4305867974505167e-12
2010,2014,-0.07378208236358656,0.016507060432607818,-0.10613532630212405,-0.04142883842504908,18,-4.469728736064869,7.831886266013555e-6
2010,2016,-0.0310160939542416,0.024835474076834976,-0.07969272868381629,0.01766054077533309,19,-1.2488625688515256,0.2117153442797146
2010,2018,-0.005163563327532105,0.023778095375788434,-0.051767773885035825,0.04144064722997162,20,-0.2171563048228749,0.8280865358134066
2012,2000,-0.033601943284259306,0.009687979333889485,-0.05259003386165104,-0.014613852706867575,21,-3.468416077924162,5.235360168553907e-4
2012,2002,-0.04623625044523995,0.009055496569327309,-0.06398469758324749,-0.028487803307232412,22,-5.1058768661953815,3.292640552750236e-7
2012,2004,-0.022020083437734976,0.006574379988461924,-0.0349056314358012,-0.009134535439668752,23,-3.3493779605651564,8.099322719399848e-4
2012,2006,-0.017211767338185406,0.005335023577649493,-0.02766822140705044,-0.006755313269320374,24,-3.2261839310874376,0.0012545270810096162
2012,2008,0.0016248206401169917,0.002925105297436978,-0.0041082803938468065,0.007357921674080789,25,0.5554742393515489,0.5785703255309292
2012,2010,0,NA,NA,NA,26,NA,NA
2012,2012,-0.13689162222843054,0.006051960033433175,-0.14875324592983538,-0.1250299985270257,27,-22.61938635949224,2.7933794101637034e-113
2012,2014,-0.09748625712386833,0.006225672052965226,-0.10968835012723771,-0.08528416412049894,28,-15.658752387613573,2.8952109730560107e-55
2012,2016,-0.05498090768032507,0.007800710920788408,-0.07027002013887863,-0.03969179522177151,29,-7.048191919765207,1.8125753165101406e-12
2012,2018,-0.03624944302404141,0.008176706907821615,-0.052275494075511644,-0.020223391972571173,30,-4.433256986301683,9.282011801803562e-6
2014,2000,0.04521182626231295,0.012118086051049928,0.02146081404069789,0.06896283848392801,31,3.730937878461074,1.9076826335369512e-4
2014,2002,0.032279728457259495,0.011520003254649953,0.009700936976361388,0.0548585199381576,32,2.8020589702724306,0.0050777591025081975
2014,2004,-0.00578981589164844,0.007724295256860838,-0.020929156401049247,0.009349524617752365,33,-0.7495591117527306,0.45352028456114407
2014,2006,-0.011323543050373327,0.007288934850959504,-0.02560959284391278,0.0029625067431661243,34,-1.5535250735411243,0.12029774387509372
2014,2008,-0.002227445690061392,0.005003049748890627,-0.01203324301074918,0.007578351630626397,35,-0.4452175776495735,0.6561625250962669
2014,2010,-0.008452655718504948,0.0040334818267318585,-0.016358134831196216,-5.471766058136804e-4,36,-2.095622611334223,0.03611568177751941
2014,2012,0,NA,NA,NA,37,NA,NA
2014,2014,-0.1464212322842173,0.003970425689942633,-0.15420312363979746,-0.13863934092863714,38,-36.87796818741944,1.0422316068765301e-297
2014,2016,-0.0948861836019278,0.004692768800695298,-0.10408384143906381,-0.08568852576479179,39,-20.219658720001103,6.573630061695844e-91
2014,2018,-0.06540797235650309,0.005395212070418971,-0.07598239370348005,-0.054833551009526124,40,-12.123336673848996,7.945706101447126e-34
2016,2000,0.044158027798315715,0.0068864875133867786,0.030660760292092838,0.05765529530453859,41,6.412271526300753,1.433671918850351e-10
2016,2002,0.043755201414946474,0.006202519635752368,0.03159848631546934,0.05591191651442361,42,7.054423683358311,1.733175415976846e-12
2016,2004,0.02042526753220783,0.005185796994806356,0.010261292191251329,0.03058924287316433,43,3.93869400454048,8.192633512910555e-5
2016,2006,0.012221006209195927,0.004321516960150758,0.0037509886087214294,0.020691023809670424,44,2.8279435952438314,0.0046848060016876905
2016,2008,0.0018435858486001296,0.0031382562220105678,-0.004307283320799318,0.007994455017999577,45,0.5874554906224357,0.5568978350690921
2016,2010,-0.0019805894516590227,0.002324553377373057,-0.006536630351451158,0.002575451448133113,46,-0.8520301021855895,0.3941973848237315
2016,2012,0.0033200106788783836,0.0011185297005897874,0.0011277327500840307,0.0055122886076727365,47,2.968191794216802,0.00299557349937742
2016,2014,0,NA,NA,NA,48,NA,NA
2016,2016,-0.05772761081174315,0.002704627594689659,-0.06302858348892808,-0.05242663813455822,49,-21.344014578970928,4.432081612579417e-101
2016,2018,-0.057353463343407865,0.0025570400667742133,-0.062365169781311215,-0.052341756905504515,50,-22.42963029349832,2.023109353803371e-111
2018,2000,0.04277212102356416,0.007869060674787402,0.0273490455088204,0.05819519653830792,51,5.435479886513867,5.4649149955540534e-8
2018,2002,0.039841179462325516,0.007059623916383996,0.026004570841815282,0.05367778808283575,52,5.643527181364717,1.6660120979904832e-8
2018,2004,0.01782110754648241,0.005936980315549206,0.006184839951082724,0.029457375141882097,53,3.001712419326735,0.0026846566258150943
2018,2006,0.015076061500084077,0.005391252493081237,0.004509400782083077,0.025642722218085078,54,2.796393142304438,0.005167649655384179
2018,2008,0.004915013727883355,0.004068602343124335,-0.003059300332055615,0.012889327787822326,55,1.2080349253569593,0.22703382861733434
2018,2010,-2.055884942922644e-4,0.0034913412563937376,-0.007048491614562812,0.006637314625978282,56,-0.05888524758665959,0.9530435083813743
2018,2012,-0.002135696296543293,0.0020272083893814476,-0.00610895172888838,0.0018375591358017942,57,-1.0535159126856946,0.29210460514206915
2018,2014,-0.00617580554309509,0.0017472937595813646,-0.009600438382286152,-0.002751172703904028,58,-3.534497567584031,4.0855119583825273e-4
2018,2016,0,NA,NA,NA,59,NA,NA
2018,2018,-0.06543266584176789,0.002179100483688797,-0.06970362430849175,-0.06116170737504404,60,-30.027374291158434,4.311294382798228e-198
