term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixest::.__event_time_plot__::-8:.__ever_treated__,0.00830957760249282,0.03535849137343235,0.23500939321004138,0.8185189349990968,-0.06951393719366002,0.08613309239864565
fixest::.__event_time_plot__::-6:.__ever_treated__,0.020261420392828845,0.03760587173436195,0.5387834255232858,0.6007699133887644,-0.06250854522681143,0.10303138601246911
fixest::.__event_time_plot__::-4:.__ever_treated__,0.020979624000781908,0.023621630572156094,0.8881530822648441,0.39346486433674677,-0.031011234345700623,0.07297048234726444
fixest::.__event_time_plot__::0:.__ever_treated__,-0.06322799428214196,0.024163581825912654,-2.616664811436905,0.023970830929622333,-0.11641167929563573,-0.010044309268648181
fixest::.__event_time_plot__::2:.__ever_treated__,-0.08294164930605871,0.0321341698427739,-2.5811044664254807,0.02553998406412005,-0.15366848026186836,-0.012214818350249082
fixest::.__event_time_plot__::4:.__ever_treated__,-0.09592542394706788,0.054859266418126364,-1.7485728521403014,0.10817786322576411,-0.2166698552268776,0.024819007332741838
fixest::.__event_time_plot__::6:.__ever_treated__,-0.09685219017797995,0.08481832736202054,-1.141878096282147,0.27775217760691545,-0.28353607000558173,0.08983168964962183
fixest::.__event_time_plot__::8:.__ever_treated__,-0.06745957146010483,0.03970348051749606,-1.6990845785013116,0.1173726726091993,-0.15484634288310115,0.019927199962891495
