component,eigenvalue,explained_variance_ratio,cumulative_explained_variance_ratio,n_obs,n_complete_case
1,1.231282381895816,0.4103864547911322,0.4103864547911322,10009,8476
2,0.9154944056405723,0.3051343128401388,0.715520767631271,10009,8476
3,0.8535229726554582,0.284479232368729,1.0,10009,8476
