component,eigenvalue,explained_variance_ratio,cumulative_explained_variance_ratio,n_obs,n_complete_case
1,3.927645962552516,0.4909066938908182,0.4909066938908182,10009,9371
2,0.8694512564507875,0.1086705486881742,0.5995772425789924,10009,9371
3,0.6267398856621413,0.0783346585036806,0.677911901082673,10009,9371
4,0.6145951877604546,0.07681672293818853,0.7547286240208615,10009,9371
5,0.5681959526286665,0.07101739801563214,0.8257460220364936,10009,9371
6,0.540591660827969,0.06756720628392342,0.893313228320417,10009,9371
7,0.4997988027182484,0.06246860847242772,0.9557818367928448,10009,9371
8,0.3537806519108052,0.04421816320715531,1.0,10009,9371
