metric,value
n_obs,10009.0
pc1_explained_variance_ratio,0.4103864547911322
pc2_explained_variance_ratio,0.3051343128401388
correlation_main_vs_legacy_std,0.8418386881566813
mean_absolute_difference_std,0.4529432159288228
root_mean_squared_difference_std,0.5624256605869249
