variable,label,pc1_loading,pc2_loading,imputed_n,median_imputation_value
democracy_best_form,Democracy is better than any other form of government.,0.6701032293796066,-0.3607872780171038,492,5.0
democracy_satisfaction,I am satisfied with democracy.,0.6725412406142016,-0.33960477375386394,1117,2.0
democracy_voice_matters,Those who govern care about what people like me think.,0.574397356839278,0.8185325548230619,317,3.0
