group,time,estimate,std.error,conf.low,conf.high
2008,2002,0.9243455490333559,0.4241331090724166,0.09304465525141936,1.7556464428152925
2008,2004,-0.03547974392563007,0.4556327003269748,-0.9285198365665006,0.8575603487152406
2008,2006,-0.6190998391798049,0.22855490271330675,-1.0670674484978862,-0.17113222986172372
2008,2008,-0.29822570894988404,0.07458830691112418,-0.44441879049568744,-0.15203262740408063
2008,2010,-0.3025115020188179,0.20902248940810955,-0.7121955812587126,0.10717257722107681
2008,2012,-0.4489567225828277,0.281788284251894,-1.0012617597165399,0.10334831455088456
2008,2014,-0.24058879527252164,0.43507590455872736,-1.0933375682076272,0.612159977662584
2008,2016,-0.2773168244154298,0.27070066915506175,-0.8078901359593509,0.25325648712849125
2008,2018,-0.3125210347696774,0.43893087736276626,-1.1728255544006991,0.5477834848613444
2008,2020,-0.28754034674705975,0.5854179369388663,-1.4349595031472377,0.8598788096531184
2008,2022,-0.22699013725463027,0.6175446608152354,-1.4373776724524918,0.9833973979432312
2010,2002,0.5871337530176292,0.15921371170434126,0.2750748780771203,0.899192627958138
2010,2004,-0.28094758825389765,0.11410216246697961,-0.5045878266891777,-0.0573073498186176
2010,2006,0.10242826917452236,0.11643531670941763,-0.1257849515759362,0.3306414899249809
2010,2008,-0.14317146875767042,0.05703752293290358,-0.2549650137061614,-0.031377923809179406
2010,2010,-0.18125264182679268,0.12278455445017711,-0.42191036854913977,0.05940508489555443
2010,2012,-0.12410846281601053,0.1461966829028639,-0.4106539613056237,0.16243703567360268
2010,2014,-0.2687196309345251,0.12424963983425742,-0.5122489250096697,-0.025190336859380574
2010,2016,-0.09495055378200466,0.10306044308270633,-0.29694902222410907,0.10704791466009973
2010,2018,-0.14229797694807622,0.10626829451752344,-0.3505838342024222,0.06598788030626973
2010,2020,-0.16060054478621869,0.10291045695947257,-0.3623050404267849,0.04110395085434754
2010,2022,-0.15366935170104581,0.10168107005303556,-0.3529642490049955,0.04562554560290388
2012,2002,0.4332662930321127,0.08278676914980736,0.27100422549849035,0.5955283605657351
2012,2004,-0.10107840564730391,0.07686086770725867,-0.25172570635353086,0.04956889505892306
