lb,ub,method,Delta,M,restriction
-0.09335652373158872,-0.08392897854217925,C-LF,DeltaSD,0,Smoothness
-0.5481006042140201,0.4164247833818231,C-LF,DeltaSD,0.5,Smoothness
-1.04810060421402,0.9159077352140534,C-LF,DeltaSD,1,Smoothness
-1.54810060421402,1.4148306823297299,C-LF,DeltaSD,1.5,Smoothness
-2.04810060421402,1.9168909558960046,C-LF,DeltaSD,2,Smoothness
