lb,ub,method,Delta,Mbar,restriction
-0.09314725564138854,-0.08413824663237957,C-LF,DeltaRM,0,Relative magnitudes
-0.09414825664238952,-0.08313724563137848,C-LF,DeltaRM,0.5,Relative magnitudes
-0.09514925764339055,-0.08113524362937652,C-LF,DeltaRM,1,Relative magnitudes
-0.09715125964539256,-0.07913324162737456,C-LF,DeltaRM,1.5,Relative magnitudes
-0.09915326164739452,-0.0771312396253725,C-LF,DeltaRM,2,Relative magnitudes
