event_time,estimate,std.error,conf.low,conf.high
-14,-0.004121004933579196,0.005968194192387814,-0.015818665550659312,0.007576655683500919
-12,-0.028492111425110458,0.006146364186644048,-0.04053898523093279,-0.016445237619288122
-10,0.0013783641522635203,0.005425549935138061,-0.00925571372060708,0.012012442025134119
-8,0.02702683614570106,0.006233032752685545,0.014810091950437393,0.03924358034096473
-6,-8.952333714994497e-4,0.006138546987703876,-0.012926785467399046,0.011136318724400147
-4,0.015998088338514193,0.007309422179926611,0.001671620865858035,0.03032455581117035
-2,0.025091742271008754,0.006244803114023721,0.01285192816752226,0.03733155637449525
0,0.014132133552975174,0.007120942099662782,1.7508703763612077e-4,0.028089180068314228
2,0.003695692954992595,0.004315916757217956,-0.004763503889154599,0.012154889799139788
4,0.023896291621674663,0.008055150939960962,0.00810819577935118,0.03968438746399815
6,0.027588907984050493,0.011493251853032687,0.005062134352106427,0.050115681615994556
8,0.036029385286229086,0.014770294940627803,0.007079607202598592,0.06497916336985958
10,0.02484716175551866,0.027314793903595022,-0.02868983429552758,0.07838415780656491
12,-0.022922678887999818,0.1036984969403377,-0.2261717328910617,0.18032637511506208
