outcome,coefficient,std_error_cluster_municipality,p_value,n_observations,n_municipalities,n_treated_municipalities,n_control_municipalities,years,estimation_note
pct_vereador_R,0.0031025285548521883,0.006495861708503851,0.632949777394059,7924,3962,780,3182,"2012, 2016",First-difference equivalent of municipality and year fixed effects for the balanced 2012/2016 panel.
pct_vereador_L,0.010512576237227761,0.0029759866760646105,0.0004163969198348885,7924,3962,780,3182,"2012, 2016",First-difference equivalent of municipality and year fixed effects for the balanced 2012/2016 panel.
pct_vereador_C,-0.013615104792079925,0.006562137012874343,0.03806973582252527,7924,3962,780,3182,"2012, 2016",First-difference equivalent of municipality and year fixed effects for the balanced 2012/2016 panel.
