year,state,municipality_id,pct_vereador_R,pct_vereador_C,pct_vereador_L,pct_vereador_IDK,treated_bvr_2016,treat_bvr2016_x_2016
2012,RO,1100015,0.3708663773754302,0.424958850815502,0.2041747718090678,0.0,0,0
2016,RO,1100015,0.5719455589646762,0.3058767996223743,0.12217764141294941,0.0,0,0
2012,RO,1100049,0.37369397768004675,0.4921320893814983,0.1341739329384549,0.0,0,0
2016,RO,1100049,0.44233067729083664,0.5114292828685258,0.04624003984063745,0.0,0,0
2012,RO,1100056,0.47521297341681207,0.4605357692702453,0.06425125731294262,0.0,0,0
2016,RO,1100056,0.1992811079395285,0.7720689290622688,0.02864996299820277,0.0,0,0
2012,RO,1100072,0.21386908619572262,0.555195506588896,0.2309354072153813,0.0,0,0
2016,RO,1100072,0.2584541062801932,0.6060606060606061,0.1354852876592007,0.0,0,0
2012,RO,1100080,0.3913950874939798,0.45448707657729975,0.1541178359287205,0.0,0,0
2016,RO,1100080,0.5621963070942663,0.3663751214771623,0.07142857142857142,0.0,0,0
2012,RO,1100098,0.4745937580603559,0.34046943513025535,0.1849368068093887,0.0,0,0
2016,RO,1100098,0.5754048894636369,0.36375392573434323,0.06084118480201983,0.0,0,0
2012,RO,1100114,0.3553034724248614,0.48070469798657717,0.16399182958856143,0.0,0,0
2016,RO,1100114,0.22886885678723645,0.6843435295892581,0.08678761362350546,0.0,0,0
2012,RO,1100122,0.3657446808510638,0.5343085106382979,0.0999468085106383,0.0,1,0
2016,RO,1100122,0.4150400893796004,0.548090825446898,0.03686908517350158,0.0,1,1
2012,RO,1100148,0.44110898661567877,0.45478011472275337,0.10411089866156788,0.0,0,0
2016,RO,1100148,0.5165268371575862,0.3888608106742141,0.09461235216819974,0.0,0,0
2012,RO,1100155,0.43035818571150475,0.4403834923106872,0.12925832197780807,0.0,0,0
2016,RO,1100155,0.4993842694222841,0.46426085559779406,0.03635487497992183,0.0,0,0
2012,RO,1100189,0.19925777904653155,0.6974022266628604,0.10333999429060806,0.0,0,0
2016,RO,1100189,0.3479935257018474,0.5780543617793157,0.07395211251883686,0.0,0,0
2012,RO,1100254,0.17870257037943696,0.7092148977093897,0.11208253191117329,0.0,0,0
2016,RO,1100254,0.17314986327952722,0.628649554555879,0.1982005821645938,0.0,0,0
2012,RO,1100288,0.6689034499092129,0.26628246625088814,0.06481408383989895,0.0,0,0
2016,RO,1100288,0.47527859355513535,0.4619221949551434,0.0627992114897212,0.0,0,0
2012,RO,1100296,0.23333333333333334,0.6384898710865562,0.1281767955801105,0.0,0,0
2016,RO,1100296,0.613785136696188,0.2620331151328456,0.1241817481709665,0.0,0,0
2012,RO,1100304,0.6261036261036261,0.34786834786834786,0.02602802602802603,0.0,0,0
2016,RO,1100304,0.38206006532303033,0.6017419474760349,0.016197987200934703,0.0,0,0
2012,RO,1100320,0.22988711700412112,0.6328614943558502,0.13725138864002867,0.0,0,0
2016,RO,1100320,0.6000349009685019,0.33548555972428235,0.06447953930721577,0.0,0,0
2012,RO,1100346,0.3239198919891989,0.569081908190819,0.106998199819982,0.0,0,0
2016,RO,1100346,0.3657666230522184,0.556203164029975,0.0780302129178066,0.0,0,0
2012,RO,1100379,0.18216118321762753,0.6441291880470872,0.17370962873528523,0.0,0,0
2016,RO,1100379,0.40168145726296123,0.5192277751829363,0.07909076755410245,0.0,0,0
2012,RO,1100502,0.34394904458598724,0.5467650016761649,0.1092859537378478,0.0,0,0
2016,RO,1100502,0.23941682768311962,0.7126295450553312,0.047953627261549274,0.0,0,0
2012,RO,1100924,0.201552210724365,0.7539981185324554,0.04444967074317968,0.0,0,0
2016,RO,1100924,0.3734106625027883,0.5775150568815526,0.049074280615659154,0.0,0,0
2012,RO,1101005,0.29313338595106553,0.6217837411207577,0.08508287292817679,0.0,0,0
2016,RO,1101005,0.48247684764844745,0.40330488469220993,0.11421826765934265,0.0,0,0
2012,RO,1101203,0.24036792780284624,0.6768483165567512,0.08278375564040263,0.0,0,0
2016,RO,1101203,0.3742755655262666,0.5148625911385306,0.11086184333520284,0.0,0,0
2012,RO,1101302,0.2698578908002992,0.4819745699326851,0.2481675392670157,0.0,0,0
2016,RO,1101302,0.28624724436153975,0.6589791419365779,0.054773613701882315,0.0,0,0
2012,RO,1101435,0.17661804922515953,0.4774384685505925,0.3459434822242479,0.0,0,0
2016,RO,1101435,0.3531328320802005,0.47343358395989976,0.17343358395989975,0.0,0,0
2012,RO,1101450,0.31926214969847466,0.5948918056048244,0.08584604469670096,0.0,0,0
2016,RO,1101450,0.2572347266881029,0.6802429439085388,0.06252232940335835,0.0,0,0
2012,RO,1101468,0.35017026106696936,0.5737797956867197,0.07604994324631101,0.0,0,0
2016,RO,1101468,0.1377521613832853,0.8622478386167147,0.0,0.0,0,0
2012,RO,1101484,0.2523784355179704,0.5293340380549683,0.2182875264270613,0.0,0,0
2016,RO,1101484,0.3220702601233575,0.5349959774738536,0.14293376240278896,0.0,0,0
2012,RO,1101492,0.4124014589951759,0.5321802565007648,0.0554182845040593,0.0,0,0
2016,RO,1101492,0.38591117917304746,0.5428790199081164,0.07120980091883614,0.0,0,0
2012,RO,1101500,0.24267359607333622,0.6802367547278765,0.07708964919878736,0.0,0,0
2016,RO,1101500,0.39708314539167044,0.5379642159073823,0.06495263870094722,0.0,0,0
2012,RO,1101559,0.40665836963285623,0.18543870566272558,0.4079029247044182,0.0,0,0
2016,RO,1101559,0.4423391048676903,0.17216595883698138,0.3854949362953283,0.0,0,0
2012,RO,1101609,0.23700724054706357,0.6637168141592921,0.0992759452936444,0.0,0,0
2016,RO,1101609,0.31524593033432524,0.6619989497636969,0.022755119901977944,0.0,0,0
2012,RO,1101708,0.5171075330649799,0.4328637147786084,0.050028752156411734,0.0,0,0
2016,RO,1101708,0.5138681777512675,0.42469430360870863,0.06143751864002386,0.0,0,0
2012,RO,1101807,0.4793656858998854,0.38211692777990064,0.138517386320214,0.0,0,0
2016,RO,1101807,0.5357142857142857,0.3131533101045296,0.15113240418118468,0.0,0,0
2012,AC,1200203,0.3351712130005804,0.5143934997098085,0.15043528728961114,0.0,0,0
2016,AC,1200203,0.3404312379317743,0.5730261746406351,0.08654258742759065,0.0,0,0
2012,AC,1200252,0.3933342514805123,0.42569893954000826,0.18096680897947942,0.0,0,0
2016,AC,1200252,0.3516335052812577,0.37460083517563253,0.2737656595431098,0.0,0,0
2012,AC,1200328,0.03647020514490394,0.4763920547053077,0.48713774014978833,0.0,0,0
2016,AC,1200328,0.08425455631909172,0.4559306841948013,0.45981475948610695,0.0,0,0
2012,AC,1200336,0.2016626779191334,0.4261241970021413,0.3722131250787253,0.0,0,0
2016,AC,1200336,0.42202930005425937,0.300488334237656,0.27748236570808466,0.0,0,0
2012,AC,1200344,0.38438780154756486,0.4080564406008193,0.20755575785161584,0.0,0,0
2016,AC,1200344,0.2529157667386609,0.5397408207343413,0.20734341252699784,0.0,0,0
2012,AC,1200351,0.18352236925015752,0.48314429741650916,0.3333333333333333,0.0,0,0
2016,AC,1200351,0.3206757146982385,0.3481085763788623,0.3312157089228992,0.0,0,0
2012,AC,1200385,0.3740813580374702,0.3867094503674568,0.23920919159507298,0.0,0,0
2016,AC,1200385,0.5052901900359528,0.21273754494093478,0.28197226502311246,0.0,0,0
2012,AC,1200393,0.3001180637544274,0.4297520661157025,0.2701298701298701,0.0,0,0
2016,AC,1200393,0.5814005854537266,0.3021841927493808,0.11641522179689259,0.0,0,0
2012,AC,1200435,0.3258081067213956,0.4874294510005131,0.18676244227809133,0.0,0,0
2016,AC,1200435,0.6367256637168142,0.2929203539823009,0.07035398230088495,0.0,0,0
2012,AC,1200450,0.3421574066735357,0.49536339858920503,0.16247919473725925,0.0,1,0
2016,AC,1200450,0.6203462881771569,0.2877312922642491,0.09192241955859404,0.0,1,1
