year,rows,municipalities,treated_municipalities,control_municipalities,mean_pct_vereador_R_treated,mean_pct_vereador_R_control,mean_pct_vereador_L_treated,mean_pct_vereador_L_control,mean_pct_vereador_C_treated,mean_pct_vereador_C_control
2012,3962,3962,780,3182,0.3740996218533139,0.38968481019090934,0.10798407828723403,0.109734709212238,0.5179162998594521,0.5005804805968527
2016,3962,3962,780,3182,0.4241400920975518,0.4366227518802949,0.07540643959118773,0.06664449427896411,0.5004534683112605,0.496732753840741
