year,rows,municipalities,treated_municipalities,control_municipalities,mean_pct_mayor_R_treated,mean_pct_mayor_R_control,mean_pct_mayor_L_treated,mean_pct_mayor_L_control,mean_pct_mayor_C_treated,mean_pct_mayor_C_control
2012,3964,3964,780,3184,0.31720365169854586,0.3249149756364587,0.1078850998092276,0.12311513465170291,0.5749112484922265,0.5519698897118384
2016,3964,3964,780,3184,0.3617180299212336,0.3679073070878098,0.0761387152134321,0.06379813824526175,0.5621432548653345,0.5682945546669285
