cost_variable,single_year_beta,single_year_se,pca_3year_beta,pca_3year_se,pca_multirace_beta,pca_multirace_se,mean_multirace_beta,mean_multirace_se,se_reduction_pca_3year_vs_single,se_reduction_multirace_vs_3year,se_reduction_multirace_vs_single
cost_proxy_low_ed,-0.0016120386533132,0.0405849523568693,0.0086771169568338,0.0351700346104119,0.07959148574432712,0.15890105290726708,0.08151452594252873,0.15721699109062862,13.34218086260951,-351.80806521078966,-291.5270159985094
cost_proxy_high_ed,-0.0218115211481798,0.0293186659792479,-0.0078737528386999,0.024473739756315,0.055747281720626846,0.13571835481170824,0.06260151194134772,0.13623492217730207,16.525056857505703,-454.5468578282508,-362.907674270621
compliance_gap,0.2145322738181855,0.0996541920595194,0.1742956418852231,0.101104350178512,0.24113017635282902,0.274594563038632,0.1885302654396744,0.26559504069876816,-1.455190282538732,-171.59520095208757,-175.54742792418386
