outcome_type,cost_variable,n_obs,beta,se,t_stat,p_value,ci_lower,ci_upper,r_squared,within_r_squared
pc1,cost_proxy_low_ed,1845,0.07959148574432712,0.15890105290726708,0.5008870884623768,0.6248238304917546,-0.2636933684354685,0.4228763399241227,0.44599283016166924,0.04499708056368079
pc1,cost_proxy_high_ed,1845,0.055747281720626846,0.13571835481170824,0.4107571285989211,0.6879406527900205,-0.23745439812128374,0.3489489615625374,0.4457888361548821,0.04464543372112073
pc1,compliance_gap,1845,0.24113017635282902,0.274594563038632,0.8781316486550574,0.39581236364180816,-0.35209531087092777,0.8343556635765859,0.44594308060030363,0.04491132178846724
mean,cost_proxy_low_ed,1845,0.08151452594252873,0.15721699109062862,0.5184842005756186,0.6128320650813645,-0.25813213387305534,0.4211611857581128,0.41820979519678825,0.04359762434024561
mean,cost_proxy_high_ed,1845,0.06260151194134772,0.13623492217730207,0.4595114889842663,0.6534567583280175,-0.23171614384614336,0.3569191677288388,0.41803914792764485,0.04331709804011019
mean,compliance_gap,1845,0.1885302654396744,0.26559504069876816,0.7098410608257597,0.4903400802878569,-0.3852529357979039,0.7623134666772527,0.41800229307489034,0.04325651250869689
