component,eigenvalue,variance_explained,cumulative_variance_explained
PC1,3.2314470918406304,0.3589851460162439,0.3589851460162439
PC2,2.4343552622847953,0.27043530481848227,0.6294204508347261
PC3,0.8418193544221009,0.09351867299005806,0.7229391238247842
PC4,0.8087902727089332,0.08984943460100239,0.8127885584257866
PC5,0.5464687779856733,0.06070784032139749,0.8734963987471841
PC6,0.5116902659660241,0.05684425572268137,0.9303406544698655
PC7,0.3877054530772119,0.043070641334542095,0.9734112958044076
PC8,0.14174445933068902,0.01574655378338172,0.9891578495877893
PC9,0.0975968944889219,0.010842150412210892,1.0000000000000002
