municipality_id,year_election,first_regime,bvr_status,event_time,pct_low_ed_with_bvr,pct_high_ed_with_bvr,pct_with_bvr,cost_proxy_low_ed,cost_proxy_high_ed,compliance_gap,dilma_share_2010_runoff,dilma_share_2010_first_round,left_coalition_share_2010_first_round,log_population_2010,log_gdp_per_capita_2010,state,region,pc1_score,pc1_score_z,preference_simple_mean,pt_share_mean_runoff,left_share_dep_fed_mean,left_share_dep_est_mean,pca_merge
1200013,2016,hybrid,hybrid_bvr,0.0,0.3232551143200963,0.42302309307207836,0.35325057858194825,0.6767448856799037,0.5769769069279216,0.09976797875198207,0.2489031387107661,0.219681011134517,0.26376767980740295,9.436519311833914,9.182315326729055,AC,Norte,-0.3288452149453202,-0.5499437511709905,-0.23537660303728491,0.3479955273490392,0.3193696265418537,0.3711259142262037,both
1200104,2016,hybrid,hybrid_bvr,0.0,0.3536104640745386,0.5029457364341086,0.40827797649463465,0.6463895359254614,0.49705426356589144,0.14933527235956995,0.2824240135925996,0.2688540180694246,0.3765097479790775,9.971052738698551,9.095154088019857,AC,Norte,0.15490904284245383,0.2590618815154487,0.2583234158208771,0.4021502272166683,0.44698445353195826,0.4489952037593581,both
1200179,2016,hybrid,hybrid_bvr,0.0,0.2809149392423159,0.3648293963254593,0.30525247399137273,0.7190850607576841,0.6351706036745407,0.08391445708314338,0.20109211775878444,0.1878974358974359,0.2836923076923077,9.082279701908664,9.420266702513285,AC,Norte,-0.2400920538377411,-0.401517549026309,-0.13547601521864155,0.2981839669764821,0.42411568735539046,0.37093524884805334,both
1200302,2016,hybrid,hybrid_bvr,0.0,0.26964010642767117,0.5039398937144951,0.33441410405795635,0.7303598935723288,0.4960601062855049,0.23429978728682394,0.5733935742971887,0.5284263054713955,0.6331313491356264,10.386284003580617,8.730145533800238,AC,Norte,0.6185247458589,1.0343888354473618,0.6985554056856623,0.6238466799870692,0.3402829253032987,0.5505335680729944,both
1200328,2018,hybrid,hybrid_bvr,0.0,0.4169501133786848,0.6608695652173913,0.4813269351137075,0.5830498866213152,0.33913043478260874,0.24391945183870645,0.4826062948647156,0.428700769578995,0.5183340878225441,8.79133399330135,8.7434397234113,AC,Norte,1.0424486629757752,1.7433372968963736,1.1488379761903231,0.585142309740359,0.5554183612871207,0.6194591836137097,both
1200393,2018,hybrid,hybrid_bvr,0.0,0.47395369545859306,0.6285533796588756,0.514238683127572,0.526046304541407,0.3714466203411244,0.15459968420028253,0.45729349736379615,0.43055985153108567,0.482833281781627,9.124346658809207,8.790794465806405,AC,Norte,0.41267731370503,0.6901402228396378,0.5000436402909189,0.49572076630341516,0.4503357264725778,0.46947932542798904,both
1200427,2016,hybrid,hybrid_bvr,0.0,0.21095251166620918,0.4777542372881356,0.3020249502802387,0.7890474883337908,0.5222457627118644,0.2668017256219264,0.36530408773678963,0.39826839826839827,0.4671717171717172,9.574219304763417,9.063353490533068,AC,Norte,0.15169142056343096,0.2536808962203717,0.20514053793555842,0.4572333879481663,0.4724171450978232,0.3397673412372453,both
1200500,2018,hybrid,hybrid_bvr,0.0,0.22420685118656075,0.4938704028021016,0.305739903981926,0.7757931488134393,0.5061295971978984,0.26966355161554084,0.31916137044342174,0.3001509206157561,0.45801388469664955,10.546104305546345,8.847353358226918,AC,Norte,-0.3979566031216616,-0.6655220668495428,-0.3310857357249691,0.3812134135085481,0.28469608152946707,0.32094191760674323,both
1200609,2016,hybrid,hybrid_bvr,0.0,0.4080316742081448,0.5708546890150991,0.45522088353413653,0.5919683257918552,0.42914531098490094,0.16282301480695427,0.4664804469273743,0.45243977764051885,0.5190704138357011,10.479819978504239,8.764873914543784,AC,Norte,0.7278199780146865,1.2171685361246298,0.8229497797945439,0.5315927878509235,0.5146509999902336,0.544033545112311,both
2900108,2016,hybrid,hybrid_bvr,0.0,0.07464454976303317,0.16344086021505377,0.09839849949502236,0.9253554502369669,0.8365591397849462,0.0887963104520206,0.6284433055733504,0.6499775482712169,0.7047597665020207,9.025936648977904,8.332386586965523,BA,Nordeste,0.24906815867730717,0.41652872310465444,0.2535051786449465,0.6661430459814316,0.33333768156196203,0.28064884822559005,both
