event_time,term,estimate,std.error,conf.low,conf.high,statistic,p.value,n_switchers,n_comparisons
-8,dcdh_event_-8,0.00019235424238476566,0.00015415561181775575,-0.00010979075677803563,0.0004944992415475669,1.2477926694758845,0.21210699390739857,2475.0,6
-6,dcdh_event_-6,0.0005323341668760867,0.00016609938410447933,0.00020677937403130726,0.0008578889597208662,3.2049135506802333,0.0013510305198008857,2477.0,6
-4,dcdh_event_-4,0.0006965770773806283,0.00013837400094492694,0.0004253640355285715,0.000967790119232685,5.034017030828407,4.803069725893295e-07,2477.0,6
-2,dcdh_event_-2,0.0,,,,,,,0
0,dcdh_event_0,-0.08876209587171663,0.0008067367555379608,-0.09034329991257103,-0.08718089183086222,-110.02609619853864,0.0,2478.0,6
2,dcdh_event_2,-0.0778485193809364,0.0010479007719839896,-0.07990240489402502,-0.07579463386784778,-74.28997235448722,0.0,1540.0,5
4,dcdh_event_4,-0.06468522577133795,0.0017477684283864292,-0.06811085189097535,-0.06125959965170055,-37.01018093744633,7.854355890160585e-300,760.0,4
6,dcdh_event_6,-0.06853089092245926,0.002003455843612316,-0.0724576643759394,-0.06460411746897912,-34.206339581158495,1.946231346252585e-256,298.0,3
8,dcdh_event_8,-0.058944957665507586,0.005159204477242619,-0.06905699844090311,-0.04883291689011205,-11.425202843871624,3.129240822677258e-30,60.0,2
