"outcome","spec","term","estimate","std_error","p_value","n_obs"
"trust_index_std","placebo_no_state_fe","placebo_by_2014",0.123618051523179,0.0756170410333367,0.104713527505582,1384
"trust_index_std","placebo_state_fe","placebo_by_2014",-0.0388807160860406,0.103111289291566,0.706783680415216,1384
"democracy_index_std","placebo_no_state_fe","placebo_by_2014",0.0247204954013934,0.0980631311035979,0.801404635498677,1384
"democracy_index_std","placebo_state_fe","placebo_by_2014",-0.0146075894825206,0.119336727761639,0.902781862848522,1384
