"sample","n_obs","n_municipalities","n_muni_year","n_waves","min_year","max_year","n_registered_under_bvr","n_mixed_cohort","n_low_ed_registered_under_bvr","n_low_ed_mixed","n_hybrid_rows"
"all",2425,8,64,8,2006,2020,28,247,2,102,0
"no_hybrid",2425,8,64,8,2006,2020,28,247,2,102,0
