metric,value
spec,including_hybrid
rows_full_panel_with_2006_denominator,55636
rows_analysis_sample,55636
municipalities_full_panel_with_2006_denominator,5565
municipalities_analysis_sample,5565
treated_municipalities,4322
never_treated_municipalities,1243
hybrid_municipalities_in_sample,1845
