subgroup,baseline_gdp_year,median_gdp_pc_cutoff,rows,municipalities,treated_municipalities,control_municipalities,min_gdp_pc,max_gdp_pc
full_sample,2012,12879.861368180413,4036,2018,779,1239,2873.6171639289305,215305.00158277937
below_median,2012,12879.861368180413,2018,1009,488,521,2873.6171639289305,12877.425541516246
above_or_equal_median,2012,12879.861368180413,2018,1009,291,718,12882.29719484458,215305.00158277937
