year,state,municipality_id,pct_vereador_R,pct_vereador_C,pct_vereador_L,pct_vereador_IDK,treated_bvr_2016,gdp_pc,log_gdp_pc,gdp_split,gdp_median_cutoff,baseline_gdp_year,treat_bvr2016_x_2016
2012,RO,1100015,0.3708663773754302,0.424958850815502,0.2041747718090678,0.0,0,13670.239727450247,9.522976466319916,above_or_equal_median,12879.861368180413,2012,0
2016,RO,1100015,0.5719455589646762,0.3058767996223743,0.12217764141294941,0.0,0,13670.239727450247,9.522976466319916,above_or_equal_median,12879.861368180413,2012,0
2012,RO,1100080,0.3913950874939798,0.45448707657729975,0.1541178359287205,0.0,0,9341.065830721003,9.142175639350532,below_median,12879.861368180413,2012,0
2016,RO,1100080,0.5621963070942663,0.3663751214771623,0.07142857142857142,0.0,0,9341.065830721003,9.142175639350532,below_median,12879.861368180413,2012,0
2012,RO,1100114,0.3553034724248614,0.48070469798657717,0.16399182958856143,0.0,0,19413.966966096785,9.873748032720131,above_or_equal_median,12879.861368180413,2012,0
2016,RO,1100114,0.22886885678723645,0.6843435295892581,0.08678761362350546,0.0,0,19413.966966096785,9.873748032720131,above_or_equal_median,12879.861368180413,2012,0
2012,RO,1100122,0.3657446808510638,0.5343085106382979,0.0999468085106383,0.0,1,19634.937167632015,9.885065766988248,above_or_equal_median,12879.861368180413,2012,0
2016,RO,1100122,0.4150400893796004,0.548090825446898,0.03686908517350158,0.0,1,19634.937167632015,9.885065766988248,above_or_equal_median,12879.861368180413,2012,1
2012,RO,1100148,0.44110898661567877,0.45478011472275337,0.10411089866156788,0.0,0,10858.2776129908,9.292682981737629,below_median,12879.861368180413,2012,0
2016,RO,1100148,0.5165268371575862,0.3888608106742141,0.09461235216819974,0.0,0,10858.2776129908,9.292682981737629,below_median,12879.861368180413,2012,0
2012,RO,1100155,0.43035818571150475,0.4403834923106872,0.12925832197780807,0.0,0,14086.494850861747,9.552971805375618,above_or_equal_median,12879.861368180413,2012,0
2016,RO,1100155,0.4993842694222841,0.46426085559779406,0.03635487497992183,0.0,0,14086.494850861747,9.552971805375618,above_or_equal_median,12879.861368180413,2012,0
2012,RO,1100320,0.22988711700412112,0.6328614943558502,0.13725138864002867,0.0,0,15229.306334655903,9.630976898867447,above_or_equal_median,12879.861368180413,2012,0
2016,RO,1100320,0.6000349009685019,0.33548555972428235,0.06447953930721577,0.0,0,15229.306334655903,9.630976898867447,above_or_equal_median,12879.861368180413,2012,0
2012,RO,1100346,0.3239198919891989,0.569081908190819,0.106998199819982,0.0,0,11242.80663252865,9.32748379268063,below_median,12879.861368180413,2012,0
2016,RO,1100346,0.3657666230522184,0.556203164029975,0.0780302129178066,0.0,0,11242.80663252865,9.32748379268063,below_median,12879.861368180413,2012,0
2012,RO,1101005,0.29313338595106553,0.6217837411207577,0.08508287292817679,0.0,0,11826.195219123507,9.37807228386532,below_median,12879.861368180413,2012,0
2016,RO,1101005,0.48247684764844745,0.40330488469220993,0.11421826765934265,0.0,0,11826.195219123507,9.37807228386532,below_median,12879.861368180413,2012,0
2012,RO,1101302,0.2698578908002992,0.4819745699326851,0.2481675392670157,0.0,0,11178.504193051514,9.3217479446499,below_median,12879.861368180413,2012,0
2016,RO,1101302,0.28624724436153975,0.6589791419365779,0.054773613701882315,0.0,0,11178.504193051514,9.3217479446499,below_median,12879.861368180413,2012,0
2012,RO,1101435,0.17661804922515953,0.4774384685505925,0.3459434822242479,0.0,0,11516.391221891086,9.351526623184474,below_median,12879.861368180413,2012,0
2016,RO,1101435,0.3531328320802005,0.47343358395989976,0.17343358395989975,0.0,0,11516.391221891086,9.351526623184474,below_median,12879.861368180413,2012,0
2012,RO,1101492,0.4124014589951759,0.5321802565007648,0.0554182845040593,0.0,0,13408.812214474634,9.503667397742369,above_or_equal_median,12879.861368180413,2012,0
2016,RO,1101492,0.38591117917304746,0.5428790199081164,0.07120980091883614,0.0,0,13408.812214474634,9.503667397742369,above_or_equal_median,12879.861368180413,2012,0
2012,RO,1101500,0.24267359607333622,0.6802367547278765,0.07708964919878736,0.0,0,12215.336948102246,9.410447568092579,below_median,12879.861368180413,2012,0
2016,RO,1101500,0.39708314539167044,0.5379642159073823,0.06495263870094722,0.0,0,12215.336948102246,9.410447568092579,below_median,12879.861368180413,2012,0
2012,RO,1101559,0.40665836963285623,0.18543870566272558,0.4079029247044182,0.0,0,13243.407283382168,9.491255144070237,above_or_equal_median,12879.861368180413,2012,0
2016,RO,1101559,0.4423391048676903,0.17216595883698138,0.3854949362953283,0.0,0,13243.407283382168,9.491255144070237,above_or_equal_median,12879.861368180413,2012,0
2012,RO,1101609,0.23700724054706357,0.6637168141592921,0.0992759452936444,0.0,0,11895.602836879432,9.383924101308232,below_median,12879.861368180413,2012,0
2016,RO,1101609,0.31524593033432524,0.6619989497636969,0.022755119901977944,0.0,0,11895.602836879432,9.383924101308232,below_median,12879.861368180413,2012,0
2012,RO,1101708,0.5171075330649799,0.4328637147786084,0.050028752156411734,0.0,0,10152.991250886735,9.225523645573947,below_median,12879.861368180413,2012,0
2016,RO,1101708,0.5138681777512675,0.42469430360870863,0.06143751864002386,0.0,0,10152.991250886735,9.225523645573947,below_median,12879.861368180413,2012,0
2012,RO,1101807,0.4793656858998854,0.38211692777990064,0.138517386320214,0.0,0,12049.616882301218,9.396788144413462,below_median,12879.861368180413,2012,0
2016,RO,1101807,0.5357142857142857,0.3131533101045296,0.15113240418118468,0.0,0,12049.616882301218,9.396788144413462,below_median,12879.861368180413,2012,0
2012,AC,1200336,0.2016626779191334,0.4261241970021413,0.3722131250787253,0.0,0,7663.058527375708,8.944166468599558,below_median,12879.861368180413,2012,0
2016,AC,1200336,0.42202930005425937,0.300488334237656,0.27748236570808466,0.0,0,7663.058527375708,8.944166468599558,below_median,12879.861368180413,2012,0
2012,AC,1200344,0.38438780154756486,0.4080564406008193,0.20755575785161584,0.0,0,8047.057392996109,8.993061762343403,below_median,12879.861368180413,2012,0
2016,AC,1200344,0.2529157667386609,0.5397408207343413,0.20734341252699784,0.0,0,8047.057392996109,8.993061762343403,below_median,12879.861368180413,2012,0
2012,AC,1200351,0.18352236925015752,0.48314429741650916,0.3333333333333333,0.0,0,7915.691331085102,8.976602312920912,below_median,12879.861368180413,2012,0
2016,AC,1200351,0.3206757146982385,0.3481085763788623,0.3312157089228992,0.0,0,7915.691331085102,8.976602312920912,below_median,12879.861368180413,2012,0
2012,AC,1200435,0.3258081067213956,0.4874294510005131,0.18676244227809133,0.0,0,7440.624382533097,8.914710046689333,below_median,12879.861368180413,2012,0
2016,AC,1200435,0.6367256637168142,0.2929203539823009,0.07035398230088495,0.0,0,7440.624382533097,8.914710046689333,below_median,12879.861368180413,2012,0
2012,AC,1200450,0.3421574066735357,0.49536339858920503,0.16247919473725925,0.0,1,12453.613755585779,9.42976612126797,below_median,12879.861368180413,2012,0
2016,AC,1200450,0.6203462881771569,0.2877312922642491,0.09192241955859404,0.0,1,12453.613755585779,9.42976612126797,below_median,12879.861368180413,2012,1
2012,AC,1200708,0.17690542951822585,0.48954881468264083,0.3335457557991333,0.0,1,8858.104453392632,9.089088076397433,below_median,12879.861368180413,2012,0
2016,AC,1200708,0.38118870376934894,0.3555476781283233,0.2632636181023278,0.0,1,8858.104453392632,9.089088076397433,below_median,12879.861368180413,2012,1
2012,AC,1200807,0.2852771166269976,0.48600249348294233,0.22872038989006008,0.0,1,9235.48345564568,9.130808241630804,below_median,12879.861368180413,2012,0
2016,AC,1200807,0.42185473411154345,0.3701902291396455,0.20795503674881108,0.0,1,9235.48345564568,9.130808241630804,below_median,12879.861368180413,2012,1
2012,AM,1300029,0.522740696987596,0.45569994093325455,0.02155936207914944,0.0,0,5432.23697934775,8.600106294823695,below_median,12879.861368180413,2012,0
2016,AM,1300029,0.5257608115323011,0.46769887880405764,0.006540309663641218,0.0,0,5432.23697934775,8.600106294823695,below_median,12879.861368180413,2012,0
2012,AM,1300060,0.18181818181818182,0.34378721714966254,0.47439460103215564,0.0,0,5213.498060036757,8.559006322125763,below_median,12879.861368180413,2012,0
2016,AM,1300060,0.28762861928691075,0.4912658530748983,0.22110552763819097,0.0,0,5213.498060036757,8.559006322125763,below_median,12879.861368180413,2012,0
2012,AM,1300086,0.5652173913043478,0.22197846031112883,0.21280414838452333,0.0,0,6294.2597064833735,8.747393339322072,below_median,12879.861368180413,2012,0
2016,AM,1300086,0.561153705732019,0.41931361810879886,0.019532676159182184,0.0,0,6294.2597064833735,8.747393339322072,below_median,12879.861368180413,2012,0
2012,AM,1300102,0.4446160325705461,0.46848238101923345,0.08690158641022042,0.0,0,8054.065135895033,8.993932228775646,below_median,12879.861368180413,2012,0
2016,AM,1300102,0.6424993408911153,0.33245452148694965,0.025046137621935145,0.0,0,8054.065135895033,8.993932228775646,below_median,12879.861368180413,2012,0
2012,AM,1300144,0.5198717948717949,0.2934294871794872,0.18669871794871795,0.0,0,7325.605109214834,8.899131039239881,below_median,12879.861368180413,2012,0
2016,AM,1300144,0.5745315161839863,0.35122089721749006,0.07424758659852357,0.0,0,7325.605109214834,8.899131039239881,below_median,12879.861368180413,2012,0
2012,AM,1300201,0.5694107261090267,0.31847274332376957,0.1121165305672037,0.0,0,5317.947751821151,8.578842746974926,below_median,12879.861368180413,2012,0
2016,AM,1300201,0.4401834862385321,0.4910091743119266,0.06880733944954129,0.0,0,5317.947751821151,8.578842746974926,below_median,12879.861368180413,2012,0
2012,AM,1300300,0.5624096991017024,0.3623343174822539,0.07525598341604373,0.0,1,5319.854707012488,8.579201271250808,below_median,12879.861368180413,2012,0
2016,AM,1300300,0.7883592623887867,0.1819175903374919,0.029723147273721356,0.0,1,5319.854707012488,8.579201271250808,below_median,12879.861368180413,2012,1
2012,AM,1300409,0.3892650701899257,0.4710156895127993,0.13971924029727498,0.0,0,4688.5694465854785,8.452882792861633,below_median,12879.861368180413,2012,0
2016,AM,1300409,0.38790310137324485,0.5520752970220645,0.06002160160469063,0.0,0,4688.5694465854785,8.452882792861633,below_median,12879.861368180413,2012,0
2012,AM,1300508,0.47206443408223825,0.333870284018652,0.1940652818991098,0.0,0,5633.757167788582,8.63653184629845,below_median,12879.861368180413,2012,0
2016,AM,1300508,0.7200552825552825,0.19387285012285013,0.08607186732186732,0.0,0,5633.757167788582,8.63653184629845,below_median,12879.861368180413,2012,0
2012,AM,1300607,0.4953030303030303,0.4009848484848485,0.10371212121212121,0.0,0,5227.982832618026,8.561780791000777,below_median,12879.861368180413,2012,0
2016,AM,1300607,0.5985376520431871,0.3333333333333333,0.06812901462347956,0.0,0,5227.982832618026,8.561780791000777,below_median,12879.861368180413,2012,0
2012,AM,1300631,0.23612720484099395,0.630745461568173,0.133127333590833,0.0,0,5477.286792919916,8.60836514655321,below_median,12879.861368180413,2012,0
2016,AM,1300631,0.5331703522613623,0.45771752416935213,0.009112123569285476,0.0,0,5477.286792919916,8.60836514655321,below_median,12879.861368180413,2012,0
2012,AM,1300680,0.32614962251201096,0.530130404941661,0.14371997254632807,0.0,0,5259.403537901526,8.56777290346575,below_median,12879.861368180413,2012,0
2016,AM,1300680,0.6816346506790653,0.3121252905909703,0.006240058729964517,0.0,0,5259.403537901526,8.56777290346575,below_median,12879.861368180413,2012,0
2012,AM,1300706,0.6044266541087827,0.1658425555293933,0.22973079036182403,0.0,0,6706.618331141125,8.810850128433282,below_median,12879.861368180413,2012,0
2016,AM,1300706,0.5759431306306306,0.4192708333333333,0.004786036036036036,0.0,0,6706.618331141125,8.810850128433282,below_median,12879.861368180413,2012,0
2012,AM,1300805,0.5291483167873404,0.3879226692543107,0.08292901395834888,0.0,0,5915.977616303349,8.685412040237216,below_median,12879.861368180413,2012,0
2016,AM,1300805,0.4582085294537156,0.5280987020396519,0.013692768506632435,0.0,0,5915.977616303349,8.685412040237216,below_median,12879.861368180413,2012,0
2012,AM,1300839,0.5028403525954946,0.4015670910871694,0.09559255631733594,0.0,0,8387.596213394674,9.03450925225971,below_median,12879.861368180413,2012,0
2016,AM,1300839,0.7060542119785749,0.2694367797435481,0.024509008277876967,0.0,0,8387.596213394674,9.03450925225971,below_median,12879.861368180413,2012,0
2012,AM,1300904,0.6981242672919109,0.2073075420085971,0.09456819069949199,0.0,0,5030.816530816531,8.523337582089628,below_median,12879.861368180413,2012,0
2016,AM,1300904,0.6163479438145202,0.27043492976815026,0.11321712641732949,0.0,0,5030.816530816531,8.523337582089628,below_median,12879.861368180413,2012,0
2012,AM,1301001,0.4466739735266841,0.28640080937526347,0.26692521709805245,0.0,0,6196.479142747799,8.731736529526183,below_median,12879.861368180413,2012,0
2016,AM,1301001,0.6553876984738708,0.2554339448127023,0.08917835671342686,0.0,0,6196.479142747799,8.731736529526183,below_median,12879.861368180413,2012,0
2012,AM,1301100,0.4836109618484686,0.4436458893068243,0.07274314884470715,0.0,1,5116.358862666706,8.540198305404179,below_median,12879.861368180413,2012,0
2016,AM,1301100,0.5772156595955223,0.3514131980951203,0.07137114230935741,0.0,1,5116.358862666706,8.540198305404179,below_median,12879.861368180413,2012,1
2012,AM,1301209,0.5223250326026206,0.4032788921319009,0.07439607526547848,0.0,0,54433.23200310459,10.90473012874134,above_or_equal_median,12879.861368180413,2012,0
2016,AM,1301209,0.6567251617713631,0.33150480654009,0.011770031688546853,0.0,0,54433.23200310459,10.90473012874134,above_or_equal_median,12879.861368180413,2012,0
2012,AM,1301308,0.2954808806488992,0.5514677481653147,0.15305137118578602,0.0,0,18548.92591515353,9.828167164211129,above_or_equal_median,12879.861368180413,2012,0
2016,AM,1301308,0.6693903782592728,0.2985677561513037,0.03204186558942343,0.0,0,18548.92591515353,9.828167164211129,above_or_equal_median,12879.861368180413,2012,0
2012,AM,1301407,0.3035980246139374,0.6907580152073372,0.005643960178725406,0.0,0,9022.28669812524,9.107453095131945,below_median,12879.861368180413,2012,0
2016,AM,1301407,0.5245941757076433,0.46749327025042825,0.00791255404192838,0.0,0,9022.28669812524,9.107453095131945,below_median,12879.861368180413,2012,0
2012,AM,1301506,0.4196547144754316,0.4853179873100192,0.09502729821454921,0.0,0,6719.257814808249,8.81273298319282,below_median,12879.861368180413,2012,0
2016,AM,1301506,0.6652452025586354,0.3347547974413646,0.0,0.0,0,6719.257814808249,8.81273298319282,below_median,12879.861368180413,2012,0
2012,AM,1301605,0.23705552089831566,0.5828654605947182,0.18007901850696612,0.0,0,5264.54866798862,8.568750697814558,below_median,12879.861368180413,2012,0
2016,AM,1301605,0.43697556477639465,0.5476256339326879,0.015398801290917474,0.0,0,5264.54866798862,8.568750697814558,below_median,12879.861368180413,2012,0
2012,AM,1301654,0.478801681850035,0.3770147161878066,0.14418360196215838,0.0,0,5381.217004723534,8.590669836630838,below_median,12879.861368180413,2012,0
2016,AM,1301654,0.6739903069466882,0.2767366720516963,0.049273021001615507,0.0,0,5381.217004723534,8.590669836630838,below_median,12879.861368180413,2012,0
2012,AM,1301704,0.5076540271542165,0.3957375453021042,0.09660842754367935,0.0,0,6693.32375854115,8.808865854639693,below_median,12879.861368180413,2012,0
2016,AM,1301704,0.5498749374687344,0.4225112556278139,0.027613806903451724,0.0,0,6693.32375854115,8.808865854639693,below_median,12879.861368180413,2012,0
2012,AM,1301803,0.6395256916996047,0.06118577075098814,0.2992885375494071,0.0,0,3606.5643648763853,8.190510898693217,below_median,12879.861368180413,2012,0
2016,AM,1301803,0.46271376506868517,0.48121670871881134,0.0560695262125035,0.0,0,3606.5643648763853,8.190510898693217,below_median,12879.861368180413,2012,0
2012,AM,1301951,0.4400988986289054,0.3209710047201618,0.2389300966509328,0.0,0,7221.721157459601,8.884848590936874,below_median,12879.861368180413,2012,0
2016,AM,1301951,0.6318458417849898,0.36815415821501013,0.0,0.0,0,7221.721157459601,8.884848590936874,below_median,12879.861368180413,2012,0
2012,AM,1302009,0.4728782287822878,0.2977859778597786,0.22933579335793358,0.0,0,10649.496885481552,9.273267929221836,below_median,12879.861368180413,2012,0
2016,AM,1302009,0.7836652041849477,0.14444819439757003,0.07188660141748228,0.0,0,10649.496885481552,9.273267929221836,below_median,12879.861368180413,2012,0
2012,AM,1302108,0.4309918813978115,0.38333921637839746,0.18566890222379104,0.0,0,6155.880773361976,8.72516312722118,below_median,12879.861368180413,2012,0
2016,AM,1302108,0.40748762376237624,0.4560643564356436,0.1364480198019802,0.0,0,6155.880773361976,8.72516312722118,below_median,12879.861368180413,2012,0
2012,AM,1302207,0.28416779431664413,0.6423094271538115,0.07352277852954443,0.0,0,6869.656438499869,8.834869375013922,below_median,12879.861368180413,2012,0
2016,AM,1302207,0.4445371142618849,0.5041701417848207,0.05129274395329441,0.0,0,6869.656438499869,8.834869375013922,below_median,12879.861368180413,2012,0
2012,AM,1302306,0.4067747954643319,0.3374479689966987,0.2557772355389694,0.0,0,7524.845569343464,8.925965567060107,below_median,12879.861368180413,2012,0
2016,AM,1302306,0.5552690188723479,0.3237604032352596,0.12097057789239245,0.0,0,7524.845569343464,8.925965567060107,below_median,12879.861368180413,2012,0
2012,AM,1302405,0.5185883035002536,0.46981665338067974,0.0115950431190666,0.0,0,8156.629593562606,9.006586322629051,below_median,12879.861368180413,2012,0
2016,AM,1302405,0.7945981993997999,0.167189063021007,0.038212737579193065,0.0,0,8156.629593562606,9.006586322629051,below_median,12879.861368180413,2012,0
2012,AM,1302553,0.644534585824082,0.27327070879590093,0.08219470538001708,0.0,0,6472.353545734841,8.775295084214012,below_median,12879.861368180413,2012,0
2016,AM,1302553,0.677219479136412,0.2914125278342531,0.031367993029334885,0.0,0,6472.353545734841,8.775295084214012,below_median,12879.861368180413,2012,0
2012,AM,1302603,0.41000814790162843,0.4606341592168834,0.12935769288148818,0.0,1,29837.095386387,10.3035077099816,above_or_equal_median,12879.861368180413,2012,0
2016,AM,1302603,0.6394083122038163,0.2871488591082782,0.07344282868790554,0.0,1,29837.095386387,10.3035077099816,above_or_equal_median,12879.861368180413,2012,1
2012,AM,1302702,0.349911288534043,0.5337658017298735,0.11632290973608339,0.0,0,7749.260951357162,8.955352756685027,below_median,12879.861368180413,2012,0
2016,AM,1302702,0.5246562232408201,0.3815040548028006,0.0938397219563794,0.0,0,7749.260951357162,8.955352756685027,below_median,12879.861368180413,2012,0
2012,AM,1302801,0.39001880020509316,0.5188856605708426,0.09109553922406426,0.0,0,4873.834962491475,8.491636372818155,below_median,12879.861368180413,2012,0
2016,AM,1302801,0.5938308886971527,0.32204486626402073,0.08412424503882658,0.0,0,4873.834962491475,8.491636372818155,below_median,12879.861368180413,2012,0
2012,AM,1302900,0.4622830089426618,0.4158863755917938,0.12183061546554445,0.0,0,5497.8642356552455,8.612114975014565,below_median,12879.861368180413,2012,0
2016,AM,1302900,0.5274407582938389,0.28488151658767774,0.1876777251184834,0.0,0,5497.8642356552455,8.612114975014565,below_median,12879.861368180413,2012,0
2012,AM,1303007,0.4309252217997465,0.5029573299535277,0.06611744824672582,0.0,0,5700.373931623932,8.648287053710208,below_median,12879.861368180413,2012,0
2016,AM,1303007,0.49899818719587824,0.44451865280030534,0.05648316000381643,0.0,0,5700.373931623932,8.648287053710208,below_median,12879.861368180413,2012,0
2012,AM,1303106,0.4206959706959707,0.46382783882783885,0.11547619047619048,0.0,0,4787.709849129106,8.473807465244539,below_median,12879.861368180413,2012,0
2016,AM,1303106,0.5713375288775592,0.376563371305664,0.052099099816776864,0.0,0,4787.709849129106,8.473807465244539,below_median,12879.861368180413,2012,0
2012,AM,1303304,0.613696556942868,0.31214528944381387,0.07415815361331819,0.0,0,4957.477607889261,8.508652343568674,below_median,12879.861368180413,2012,0
2016,AM,1303304,0.7774261603375527,0.21858884200656353,0.0039849976558837315,0.0,0,4957.477607889261,8.508652343568674,below_median,12879.861368180413,2012,0
2012,AM,1303403,0.25977734753146176,0.5970232333010649,0.1431994191674734,0.0,0,7819.345455946373,8.964356128750579,below_median,12879.861368180413,2012,0
2016,AM,1303403,0.6199263591076457,0.3192116092700888,0.06086203162226554,0.0,0,7819.345455946373,8.964356128750579,below_median,12879.861368180413,2012,0
2012,AM,1303502,0.5919259882253995,0.2957106812447435,0.11236333052985702,0.0,0,5320.530307163512,8.579328259165443,below_median,12879.861368180413,2012,0
2016,AM,1303502,0.4294071146245059,0.37470355731225297,0.1958893280632411,0.0,0,5320.530307163512,8.579328259165443,below_median,12879.861368180413,2012,0
2012,AM,1303601,0.4982767109798129,0.44337764647956673,0.058345642540620385,0.0,0,4471.542608335061,8.405488730609239,below_median,12879.861368180413,2012,0
2016,AM,1303601,0.5406290956749672,0.37374399301004807,0.0856269113149847,0.0,0,4471.542608335061,8.405488730609239,below_median,12879.861368180413,2012,0
2012,AM,1303700,0.40128986026513797,0.47868147617341456,0.12002866356144751,0.0,0,4330.534351145038,8.373446220113507,below_median,12879.861368180413,2012,0
2016,AM,1303700,0.6700193423597679,0.3072533849129594,0.022727272727272728,0.0,0,4330.534351145038,8.373446220113507,below_median,12879.861368180413,2012,0
2012,AM,1303809,0.43929126515387007,0.32813179981349083,0.2325769350326391,0.0,0,4799.652147223572,8.47629872494153,below_median,12879.861368180413,2012,0
2016,AM,1303809,0.6873077361285177,0.14822832402871142,0.16446393984277088,0.0,0,4799.652147223572,8.47629872494153,below_median,12879.861368180413,2012,0
2012,AM,1303908,0.3849590469099032,0.39687267311988084,0.21816827997021593,0.0,0,4375.524068916975,8.383781578798827,below_median,12879.861368180413,2012,0
2016,AM,1303908,0.5034802784222738,0.3510354902466271,0.14548423133109908,0.0,0,4375.524068916975,8.383781578798827,below_median,12879.861368180413,2012,0
2012,AM,1303957,0.5333028152895399,0.33714808880750746,0.12954909590295263,0.0,0,5382.79512498888,8.59096305820243,below_median,12879.861368180413,2012,0
2016,AM,1303957,0.7348292682926829,0.25639024390243903,0.00878048780487805,0.0,0,5382.79512498888,8.59096305820243,below_median,12879.861368180413,2012,0
2012,AM,1304005,0.4965394502669567,0.3658295432074352,0.13763100652560806,0.0,0,7300.795880149813,8.89573864587178,below_median,12879.861368180413,2012,0
2016,AM,1304005,0.6020960698689957,0.382707423580786,0.01519650655021834,0.0,0,7300.795880149813,8.89573864587178,below_median,12879.861368180413,2012,0
2012,AM,1304062,0.5776676232715888,0.3492303678580746,0.07310200887033655,0.0,0,5059.808963997061,8.529084007418026,below_median,12879.861368180413,2012,0
2016,AM,1304062,0.6076666182662989,0.34964425729635545,0.042689124437345724,0.0,0,5059.808963997061,8.529084007418026,below_median,12879.861368180413,2012,0
2012,AM,1304104,0.4173902975570221,0.41715873567210837,0.1654509667708695,0.0,0,7183.097804837178,8.87948601813652,below_median,12879.861368180413,2012,0
2016,AM,1304104,0.5962803356770243,0.3644817418915854,0.039237922431390335,0.0,0,7183.097804837178,8.87948601813652,below_median,12879.861368180413,2012,0
2012,AM,1304203,0.3366987369838065,0.4849744625252405,0.178326800490953,0.0,0,9152.311475409837,9.121761746629812,below_median,12879.861368180413,2012,0
2016,AM,1304203,0.5718260360228438,0.34741543417777127,0.08075852979938497,0.0,0,9152.311475409837,9.121761746629812,below_median,12879.861368180413,2012,0
2012,AM,1304237,0.6550470840905336,0.20204857095655046,0.1429043449529159,0.0,0,4722.915222915223,8.460181519897038,below_median,12879.861368180413,2012,0
2016,AM,1304237,0.8329548680102186,0.16704513198978144,0.0,0.0,0,4722.915222915223,8.460181519897038,below_median,12879.861368180413,2012,0
2012,AM,1304260,0.4333265264447621,0.5060240963855421,0.060649377169695734,0.0,0,7207.430595600956,8.882867799997024,below_median,12879.861368180413,2012,0
