first_regime,event_time,n_municipalities,n_observations,mean_pct_with_bvr,median_pct_with_bvr,mean_pct_low_ed_with_bvr,median_pct_low_ed_with_bvr,mean_pct_high_ed_with_bvr,median_pct_high_ed_with_bvr,mean_compliance_gap,median_compliance_gap,p10_pct_with_bvr,p25_pct_with_bvr,p75_pct_with_bvr,p90_pct_with_bvr
hybrid,0.0,1846,1846,0.19537088912753214,0.12585923700624485,0.16412248284322797,0.08822471516716679,0.2545839851804909,0.1979361633379939,0.09046150233726291,0.08260120600417914,0.047760458213903595,0.07480395088295229,0.26180892793382016,0.46246450695996416
hybrid,2.0,841,841,0.578502869188943,0.46350144382512926,0.5435856596342555,0.4095225620538346,0.6435570409883209,0.5575146935348446,0.09997138135406523,0.11193859388266125,0.16406484080249972,0.25260996063665925,0.9975955116216938,0.9992408033680723
hybrid,4.0,2,2,0.7240911248901885,0.7240911248901885,0.680499878945182,0.680499878945182,0.7567480741754467,0.7567480741754467,0.07624819523026452,0.07624819523026452,0.5056058732214926,0.5875378425972535,0.8606444071831233,0.9425763765588842
strict,0.0,2182,2182,0.9983143300948523,0.9990423901901727,0.9976845471804812,0.9986898097842414,0.9990988442952181,0.9996121743415085,0.0014142971147367883,0.0007591564531052031,0.996617050067659,0.9980941971177257,0.9995623386314025,0.9998619753186101
strict,2.0,1480,1480,0.9981621443134671,0.9987816705540995,0.9976140530223876,0.9984193341883358,0.9988878214620559,0.9993971899436356,0.0012737684396683816,0.0008053280873066004,0.9963815611989705,0.9977941175039015,0.9993966064287234,0.9997213931193514
strict,4.0,759,759,0.9982763697401317,0.9988548525622674,0.9978054641355725,0.9984825493171472,0.9988807173826809,0.9994407158836689,0.0010752532471084736,0.00073505404837515,0.9966101543463393,0.9980076820626884,0.9994238303450591,0.9996768844604483
