intensity_bin,n_municipalities,share_municipalities,mean_pct_with_bvr,sd_pct_with_bvr,mean_pct_low_ed_with_bvr,sd_pct_low_ed_with_bvr,mean_pct_high_ed_with_bvr,sd_pct_high_ed_with_bvr
dormant,207,0.11213434452871072,0.032317150589001115,0.014046024035348501,0.017716402965951287,0.009198098205377958,0.06297835764892795,0.030065217911875816
low,1030,0.5579631635969664,0.10717139706894288,0.03960595406840082,0.07534953268999331,0.035920890213400156,0.17081309991462165,0.05520065185127197
moderate,462,0.2502708559046587,0.32168626611893625,0.08588240991252151,0.28474622777728914,0.09117413778829886,0.38661741263399907,0.0984513521493764
active,147,0.07963163596966413,0.6459824301329347,0.1039385235884127,0.6131974966724236,0.10828828292264298,0.6963998575570769,0.10575900460179498
missing,0,0.0,,,,,,
