classification,regime,n_observations,n_municipalities,mean_gap,median_gap,p10_gap,p25_gap,p75_gap,p90_gap,share_gap_gt_0,share_gap_lt_0
first_regime,hybrid,4837,1846,0.05494132753382664,0.02053209311423305,0.0001603543370351576,0.0009367099394937931,0.09604837391388177,0.1535252875610718,0.9363241678726484,0.061401695265660534
first_regime,strict,7152,2480,0.006694724736518498,0.001167667669316086,-0.00012501326737017753,0.0003266370993227907,0.0031828397662027295,0.011944287770227447,0.8387863534675615,0.11926733780760626
bvr_status,hybrid_bvr,2375,1846,0.10519593373762388,0.09590784018716689,0.036103686716948594,0.06069926208100669,0.140838360686909,0.18883258846463635,0.9831578947368421,0.016842105263157894
bvr_status,strict_bvr,5096,2793,0.0014622931216419419,0.0007797272140300793,-0.00026224116274292664,0.00017547231301909272,0.0019028187763419357,0.003509639824534838,0.7951334379905809,0.14383830455259028
