event_time,term,estimate,std.error,statistic,p.value,conf.low,conf.high
-8,fixest::.__event_time_plot__::-8:.__ever_treated__,-0.008056017112476303,0.0023971998359748024,-3.3605947203814934,0.008381237518465194,-0.013478859892085384,-0.002633174332867222
-6,fixest::.__event_time_plot__::-6:.__ever_treated__,-0.003916252073896699,0.0024814858063430456,-1.5781883837038995,0.1489782928635693,-0.009529762965097699,0.0016972588173043007
-4,fixest::.__event_time_plot__::-4:.__ever_treated__,-0.0023306611520171523,0.002032975891512334,-1.1464283279244252,0.2811829640644072,-0.006929572126797845,0.00226824982276354
-2,(reference period),0,NA,NA,NA,NA,NA
0,fixest::.__event_time_plot__::0:.__ever_treated__,-0.04947048189680601,0.0022751645179682153,-21.743694359731187,4.33874143317389e-9,-0.054617261607672135,-0.04432370218593988
2,fixest::.__event_time_plot__::2:.__ever_treated__,-0.03566010638213478,0.001943304572305455,-18.350240559476028,1.9374213145592586e-8,-0.04005616673987407,-0.03126404602439549
4,fixest::.__event_time_plot__::4:.__ever_treated__,-0.016549751436589134,0.0027550251329397017,-6.007114504588933,2.0074084102309278e-4,-0.022782051274757756,-0.010317451598420511
6,fixest::.__event_time_plot__::6:.__ever_treated__,-0.038751098233868395,0.009153510680452264,-4.233468402087858,0.002195345259855227,-0.059457777984403354,-0.018044418483333435
8,fixest::.__event_time_plot__::8:.__ever_treated__,-0.022204971902580098,0.007420228757273829,-2.9924915563840573,0.015139604199296221,-0.038990695535448316,-0.005419248269711883
