id_municipio,delta_pt_2006_2010,delta_pt_2010_2014,delta_pt_2014_2018,delta_left_2014_2018,pt_share_2006_runoff,pt_share_2010_runoff,pt_share_2014_runoff,pt_share_2018_runoff,pc1_2006_2010_score,pc1_2006_2010_score_z,pt_share_mean_2006_2010,year_first_any_bvr,first_regime,bvr_by_2014,bvr_by_2018,bvr_by_2014_strict,bvr_by_2014_hybrid,bvr_by_2018_strict,bvr_by_2018_hybrid,bvr_by_2018_minus_2014_only,bvr_by_2014_x_pc1,bvr_by_2018_x_pc1,log_population_2010,log_gdp_per_capita_2010,state,region
1100015,-0.06311035569485196,-0.04805057251136091,-0.1408279668223697,-0.20720337996151222,0.5582475423794412,0.4951371866845892,0.4470866141732283,0.3062586473508586,0.5255404437592105,-0.5183831317892662,0.5266923645320152,9999,never_treated,0,0,0,0,0,0,0,-0.0,-0.0,10.10201048866809,9.282138423008925,RO,Norte
1100049,-0.13628534090172184,-0.043250808286432685,-0.13018238088558232,-0.21943961278119445,0.5288356342797603,0.3925502933780385,0.3492994850916058,0.21911710420602348,0.45758940096002454,-0.9510161112310495,0.4606929638288994,2018,strict,0,1,0,0,1,0,1,-0.0,-0.9510161112310495,11.271796134890542,9.622472442046751,RO,Norte
1100056,-0.03641692437425309,-0.021272429664500547,-0.12372080750810424,-0.18669273466271988,0.3670287127648134,0.3306117883905603,0.3093393587260598,0.18561855121795554,0.3478837460463721,-1.6494937561903729,0.34882025057768684,2018,strict,0,1,0,0,1,0,1,-0.0,-1.6494937561903729,9.742673052026605,9.475609477930757,RO,Norte
1100072,0.058052698747848464,-0.002616519592570865,-0.10539694818865947,-0.19409275847104562,0.434191355026712,0.4922440537745605,0.4896275341819896,0.38423058599333015,0.4648725611119587,-0.9046454427838437,0.46321770440063625,2018,strict,0,1,0,0,1,0,1,-0.0,-0.9046454427838437,9.080573313917117,9.477849943431234,RO,Norte
1100080,0.021620246329741022,0.04558276232340863,-0.2042949506400784,-0.2420081176308142,0.5493773022276793,0.5709975485574204,0.616580310880829,0.4122853602407506,0.5611898029046359,-0.2914095957413337,0.5601874253925498,9999,never_treated,0,0,0,0,0,0,0,-0.0,-0.0,9.523543981658042,8.970229218986722,RO,Norte
1100098,-0.028745584227352128,-0.03345152597713941,-0.12682770483635625,-0.19087124490146085,0.457166562953744,0.4284209787263919,0.3949694527492525,0.26814174791289624,0.442275905039181,-1.0485145909156541,0.442793770840068,2018,strict,0,1,0,0,1,0,1,-0.0,-1.0485145909156541,10.265662344545426,9.292171683092802,RO,Norte
1100114,-0.015309851684533193,-0.022208032891004093,-0.14593948877537988,-0.17978941635829984,0.4040721306629222,0.388762278978389,0.3665542460873849,0.22061475731200503,0.3961138632120039,-1.3424206278226716,0.39641720482065557,9999,never_treated,0,0,0,0,0,0,0,-0.0,-0.0,10.859095146787233,9.63764141374076,RO,Norte
1100122,-0.12450863985200489,0.006906166831572025,-0.20055667706917438,-0.31032735102713704,0.5442413908143975,0.4197327509623926,0.4266389177939646,0.22608224072479025,0.47922384253615014,-0.8132732226443488,0.48198707088839504,2016,strict,0,1,0,0,1,0,1,-0.0,-0.8132732226443488,11.666590312514378,9.674753732764028,RO,Norte
1100148,-0.057430683140442196,-0.00040365993558122426,-0.11233380025298018,-0.16246270493213577,0.4634510193933366,0.4060203362528944,0.4056166763173132,0.293282876064333,0.4334965537392384,-1.1044112593698103,0.4347356778231155,9999,never_treated,0,0,0,0,0,0,0,-0.0,-0.0,9.897167623791308,9.075390472056515,RO,Norte
1100155,-0.05259292877476718,-0.005891377130183617,-0.15723748073893135,-0.23103015314222872,0.4699031127602556,0.4173101839854884,0.4114188068553048,0.25418132611637345,0.442507634189403,-1.0470392099861767,0.443606648372872,9999,never_treated,0,0,0,0,0,0,0,-0.0,-0.0,10.543444904581953,9.44063190754175,RO,Norte
