event_time,estimate,std.error,conf.low,conf.high,statistic,p.value
-8,-0.002777786697389456,5.539321044194947e-4,-0.003863473671932146,-0.0016920997228467662,-5.014669984330478,5.312456861182243e-7
-6,-0.0019685304568246137,3.722944524163261e-4,-0.0026982141752046737,-0.0012388467384445538,-5.287563228643717,1.2395652084123922e-7
-4,-0.0012112233252850608,2.789451193356305e-4,-0.001757945712846124,-6.645009377239977e-4,-4.342156364556071,1.4109105737559806e-5
-2,0,NA,NA,NA,NA,NA
0,-0.08885085029785444,8.664035217943452e-4,-0.09054896999665002,-0.08715273059905887,-102.55134941492611,0
2,-0.07761620514236392,0.0011326463026691018,-0.07983615110281782,-0.07539625918191002,-68.5264278525961,0
4,-0.06523263039054132,0.001763921351358012,-0.06868985271076425,-0.061775408070318394,-36.981598040252685,2.2630293882359636e-299
6,-0.06838816445367249,0.002039840699051212,-0.07238617875801187,-0.06439015014933311,-33.526228045887,1.999590218848478e-246
8,-0.0589862459866087,0.00490607546917281,-0.06860197721162285,-0.04937051476159454,-12.023102040979015,2.6869141165856828e-33
