metric,value
spec,including_hybrid
rows_full_panel,55661
rows_analysis_sample,55661
municipalities_full_panel,5571
municipalities_analysis_sample,5571
treated_municipalities,4326
never_treated_municipalities,1245
hybrid_municipalities_in_sample,1846
