term,estimate,std.error,conf.low,conf.high,statistic,p.value
2008,-0.058670644976335375,0.00587265502996611,-0.07018083732869694,-0.04716045262397381,-9.990480400595564,1.6776669165956702e-23
2010,-0.08608562317128204,0.004763982997602364,-0.09542285826954384,-0.07674838807302024,-18.070094543705874,5.4819685964225293e-73
2012,-0.0888956391783203,0.001918886200223427,-0.09265658702118913,-0.08513469133545147,-46.32668637044222,0
2014,-0.06919013478336272,0.0023097104265211266,-0.07371708403406077,-0.06466318553266467,-29.956194503384797,3.6540275515454364e-197
2016,-0.047858062933485365,0.001317121892995619,-0.050439574407006,-0.04527655145996473,-36.33533326565437,4.479592685157487e-289
2018,-0.03789293777541137,0.0013739396053583054,-0.04058580991884682,-0.03520006563197592,-27.57976961114633,1.9458139517633478e-167
