group,time,estimate,std.error,conf.low,conf.high,term,statistic,p.value
2008,2000,0.003670594651661024,0.010398860421362077,-0.016710797254467655,0.0240519865577897,1,0.3529804712178488,0.7241030811131215
2008,2002,-9.277775068347849e-4,0.004150294302732292,-0.009062204865431852,0.007206649851762281,2,-0.22354499203200956,0.8231113703558242
2008,2004,0.0026245808598620206,0.0027408264054065443,-0.0027473401826111823,0.007996501902335224,3,0.9575874103827888,0.33827085001850543
2008,2006,0,NA,NA,NA,4,NA,NA
2008,2008,-0.07748456955530089,0.020056938909731124,-0.11679544745849393,-0.03817369165210784,5,-3.863230072347048,1.1189752704550812e-4
2008,2010,-0.07004397705709511,0.02057414174037941,-0.11036855388106098,-0.029719400233129252,6,-3.4044665357595334,6.629342252692459e-4
2008,2012,-0.06265531466845559,0.021101393222588114,-0.10401328540834587,-0.021297343928565304,7,-2.9692501346965954,0.0029852748340724452
2008,2014,-0.06127084531041203,0.02225101010121131,-0.10488202372842312,-0.01765966689240093,8,-2.7536208482992213,0.0058940005660259275
2008,2016,-0.04839026539422913,0.023165184386029637,-0.09379319248607682,-0.0029873383023814454,9,-2.0889220904890413,0.0367147369557319
2008,2018,-0.03217889787251949,0.024841304071090333,-0.08086695918086476,0.01650916343582577,10,-1.2953787683782858,0.1951895985863429
2010,2000,-0.014981963366382923,0.004732456076864692,-0.024257406835455436,-0.005706519897310412,11,-3.1657902626132035,0.0015466226743363232
2010,2002,-0.009565081089557562,0.004211736961520365,-0.017819933846493635,-0.0013102283326214895,12,-2.271053766402528,0.023143723327107783
2010,2004,-0.0029459847861002136,0.002311394440387048,-0.00747623464332494,0.0015842650711245126,13,-1.2745487029928575,0.202469023850249
2010,2006,-2.4513783479399487e-4,0.001535798357415727,-0.0032552473028445925,0.0027649716332566023,14,-0.15961589853923658,0.8731836543333702
2010,2008,0,NA,NA,NA,15,NA,NA
2010,2010,-0.109705636149704,0.004395259979257098,-0.11832018741173816,-0.10109108488766982,16,-24.959987956900523,1.663617052293302e-137
2010,2012,-0.09552619775747492,0.004652840631887909,-0.10464559782177982,-0.08640679769317003,17,-20.530726348715447,1.1445127180958755e-93
2010,2014,-0.08809747545512739,0.004791052154974111,-0.09748776512692967,-0.07870718578332511,18,-18.38791827045002,1.6416332246268374e-75
2010,2016,-0.07755487731842264,0.00491699854948999,-0.08719201738745871,-0.06791773724938657,19,-15.772808663217308,4.787267682269127e-56
2010,2018,-0.0595439291756813,0.005108694341012392,-0.06955678609208917,-0.049531072259273425,20,-11.655410404506888,2.153404008152258e-31
2012,2000,-0.030664732798029715,0.0022382377956144143,-0.03505159826627029,-0.026277867329789144,21,-13.70039093170259,1.0097915024829208e-42
2012,2002,-0.023071680810166275,0.0020186336470641563,-0.02702813005639276,-0.01911523156393979,22,-11.429355120341462,2.9831601838681338e-30
2012,2004,-0.012073873778637008,0.0013494211904533423,-0.014718690711900724,-0.009429056845373292,23,-8.947446404469721,3.638005137807344e-19
2012,2006,-0.007432960646843822,0.0010567983247537704,-0.009504247302283476,-0.005361673991404169,24,-7.033471261960669,2.0145748416632807e-12
2012,2008,-0.004266223798876922,3.78347674211608e-4,-0.005007771613966167,-0.0035246759837876764,25,-11.275935045105745,1.7253570045909623e-29
2012,2010,0,NA,NA,NA,26,NA,NA
2012,2012,-0.10537644395738005,0.0022238262414198398,-0.10973506329843802,-0.10101782461632208,27,-47.38519673645935,0
