outcome,baseline_lb,baseline_ub,breakdown_mbar
log_num_voters,-0.12667145549133202,-0.10403670399689291,>2.0
pct_voters_low_ed,-0.09335652373158872,-0.08392897854217925,>2.0
pct_voters_high_ed,0.08461498300089235,0.09397983997314796,>2.0
