event_time,term,estimate,std.error,statistic,p.value,conf.low,conf.high
-8,fixest::.__event_time_plot__::-8:.__ever_treated__,-0.010077336281213208,0.016575518551585285,-0.6079650690776978,0.5582383720740969,-0.04757376429977639,0.02741909173734997
-6,fixest::.__event_time_plot__::-6:.__ever_treated__,-0.016633871782215707,0.013429185548511946,-1.2386359338119999,0.24681205111727725,-0.047012800061328144,0.01374505649689673
-4,fixest::.__event_time_plot__::-4:.__ever_treated__,-0.00978644636077848,0.009649689743158513,-1.0141721258672514,0.3369878327140433,-0.03161556113204488,0.01204266841048792
-2,(reference period),0,NA,NA,NA,NA,NA
0,fixest::.__event_time_plot__::0:.__ever_treated__,-0.27480534396587714,0.011976905067302602,-22.94460400426033,2.695417248657115e-9,-0.3018989855520298,-0.24771170237972445
2,fixest::.__event_time_plot__::2:.__ever_treated__,-0.1893280838657897,0.01830807221557284,-10.34123536528042,2.7044303971942737e-6,-0.2307438205652746,-0.1479123471663048
4,fixest::.__event_time_plot__::4:.__ever_treated__,-0.12484074747944396,0.023283877170114303,-5.361682101625307,4.553069927267526e-4,-0.1775125369975316,-0.07216895796135629
6,fixest::.__event_time_plot__::6:.__ever_treated__,-0.10813528482999288,0.02973890773960964,-3.6361552272468325,0.005433301594329637,-0.17540936798694579,-0.04086120167303996
8,fixest::.__event_time_plot__::8:.__ever_treated__,-0.04689093520734691,0.0488859681041634,-0.9591900708079343,0.3625205549017514,-0.15747867811450472,0.06369680769981091
