term,estimate,std.error,conf.low,conf.high,statistic,p.value,event_time
0,0.04821928894493259,9.390143461844261e-4,0.046378820826411114,0.050059757063454065,51.3509608674947,0,0
2,0.05583459787926101,0.0012537134968189482,0.053377319425495874,0.05829187633302615,44.535372731433725,0,2
4,0.06041535843137593,0.0017647428102788396,0.056956462523229404,0.06387425433952246,34.234653389425034,7.379762010336389e-257,4
6,0.058578765162251883,0.0022770454937398226,0.05411575599452183,0.06304177432998194,25.72577725095955,6.018426324098842e-146,6
8,0.05571112593798147,0.006142115937467641,0.043672578700544896,0.06774967317541805,9.070347499977483,1.186380379508703e-19,8
"i(factor_var = zz000event_time, keep = c(2, 4, 6, 8))1",NA,NA,NA,NA,NA,NA,1
