term,estimate,std.error,conf.low,conf.high
2008,-0.5618451306528673,0.24542048452781912,-1.042869280327393,-0.0808209809783419
2010,-0.20378902505435667,0.12981315035392862,-0.4582227997480568,0.05064474963934343
2012,-0.032030148886330094,0.06950620261969068,-0.16826230602092382,0.10420200824826362
2014,-0.05427749382129033,0.0627206046040007,-0.1772098788451317,0.06865489120255103
2016,0,NA,NA,NA
2018,0,NA,NA,NA
